,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MX1545-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070118,070213,070318,070351
1,MS2365-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070213,070329,070413,070436,070530,070614,070730,070846,071140,071319,071539,071626,071742,071837
2,MX1582-0,,,,,,,,,,,,,070106,070436,070835,070940,071035,071151,071246,071413,071456,071637,071859,072110,072205,072322,072452,072619,072714,072851,072946,073029,073155,073250,073418,073618,073946,074125,074346,074452,074608,074702
3,MX1614-0,,070106,070351,070552,070803,070930,071045,071202,071402,071456,071615,071659,071837,072227,,072757,072841,073029,073134,073355,073451,073651,074009,074346,074430,074536,074630,074808,074914,075102,075146,075240,075346,075418,075451,075619,075957,080156,080417,080533,080639,080733
4,MS1935-0,071753,072016,072344,072547,072913,073228,073333,073556,073819,073935,074303,074346,074441,074819,075219,075451,075556,075714,075830,080040,080145,080356,080617,080827,080943,081027,081132,081300,081354,081555,081712,081851,081945,082051,082124,082252,110918,111012,083008,111257,111351,111434
5,MX1708-0,073651,074114,074756,075146,075451,075819,080145,080512,080700,080805,081005,081110,081311,081628,082018,082146,082241,082420,082452,083145,083241,083503,083851,084127,084243,084326,084431,084548,084642,084842,084936,085103,085146,085230,085303,085419,085734,085850,,090138,090256,090328
6,MX4068-0,,080229,080754,081607,082029,082537,083008,083241,083452,083609,083819,083936,084138,084504,084904,085146,085230,085357,085452,085712,085818,090033,090256,090509,090626,090709,090817,090945,091051,091302,091356,091513,091620,091642,091714,091842,092158,092336,092513,092557,092724,092757
7,MX1545-1,,083206,083430,083902,084337,085030,085303,085524,085745,085901,090044,090138,090318,090720,091112,091240,091323,091513,091610,091736,091820,092104,092357,092608,092651,092746,092852,093041,093114,093335,093419,093502,093618,093702,093734,093912,094228,094430,094607,094756,094902,094946
8,MS2365-1,083652,084526,084820,085008,085230,085934,090223,090403,090709,090755,090945,091051,091240,091557,091926,092104,092136,092314,092419,092557,092640,092841,093041,093240,093335,093429,093640,093807,093912,094113,094145,094217,094356,094419,094440,094546,094924,095040,095250,095323,095429,095501
9,MX1582-1,,090403,090733,090912,091156,091524,091736,091948,,092314,092513,092713,092757,093124,093513,093629,093724,093901,093934,094113,094156,094356,094556,094756,094851,094946,095040,095207,095250,095440,095512,095629,095702,095724,095746,095851,100205,100415,100614,100657,100751,100846
10,MX1614-1,092031,092808,093135,093408,093535,093912,094018,094134,094408,094513,094701,094756,094902,095301,095713,095840,095923,100039,100122,100332,100415,100614,100825,101037,101120,101204,101320,101519,101552,101835,101930,102035,102129,102202,102329,102447,102804,103004,103214,103329,103445,103528
11,MX1698-0,,094451,094830,095102,095451,095756,100039,100205,100458,100541,100729,100920,101037,101403,101803,101940,102024,102202,102245,102425,102509,102721,102942,103130,103235,103319,103434,103658,103752,103910,104004,104059,104153,104214,104236,104414,104751,104940,105128,105235,105322,105408
