,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA7536-0,,,,,,,,,070106,,070624,,071753,071921,072026,072110,072259,072700
1,AA7637-0,,070106,070236,070457,070602,070635,070729,070824,070857,071438,071605,072628,072910,073214,073330,073435,073613,073953
2,MW4366-0,070813,071049,071438,071605,071732,071815,072004,072110,072154,072638,072827,074119,074402,074811,074927,075032,075126,075902
3,MW4647-0,071804,072205,072544,,,072932,073109,073203,073246,073731,074025,075242,075525,075851,075956,080136,080252,080946
4,MW4705-0,073037,073246,073602,073825,073931,074025,074224,074318,074351,074844,075126,080147,080431,080714,080830,080946,081135,081721
5,AA6952-0,073953,074246,074739,075032,075147,075242,075409,075536,075630,080230,080442,,081815,082131,082236,082352,082531,
6,AA69-59-0,,075220,075558,075829,075945,080030,080125,080241,080336,081041,081345,082308,082542,082803,,,,
7,MW4781-0,,080208,080452,080641,080757,080852,081102,081218,081251,081837,082026,,,,,,,
8,AA7286-0,080703,081102,081417,081616,081732,081815,081858,082026,082120,082647,,,,,,,,
9,MW4619-0,081941,082436,082753,,,,,,,,,,,,,,,
10,AA7706-0,,,082058,082225,082352,082447,082531,082647,082742,,,,,,,,,
