,Bus,C686,C656,C654,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX3651-0,,,,,,,,,,,,,,,1,-1,-1,-1,-1,1,2,1,1,-1
1,MX3783-0,,,,3,1,-1,1,1,1,1,-1,-1,1,1,-1,1,2,-1,-1,-1,-1,1,-1,-1
2,MX4598-0,-1,1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1
3,MX4159-0,,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
4,MX4458-0,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
5,MX3651-1,5,-1,1,-1,3,-1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1
6,MX3783-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1
7,MX4598-1,-1,1,1,-1,3,1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,2,1,1,-1
8,MX4159-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,2,1,-1,2,3,1,1,-1
9,MX4458-1,-1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,2,1,-1,1,1,1,-1,-1
10,MX3651-2,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,2,1,-1,2,1,1,1,-1
11,MX3783-2,-1,1,1,1,5,1,1,1,1,1,1,1,-1,1,1,1,2,1,-1,1,1,1,-1,-1
12,MW5264-0,4,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,3,1,1,-1,-1
13,MX4598-2,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,-1
14,MW5191-0,5,1,1,1,5,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,-1
15,MW5112-0,,,,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1
16,MX4458-2,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,2,1,-1,1,1,1,-1,-1
17,MX3651-3,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,2,1,-1,1,3,1,1,-1
18,MX3783-3,1,1,1,1,1,1,4,1,1,1,1,1,-1,1,1,1,2,1,-1,2,2,1,1,-1
19,MW5264-1,5,2,1,2,1,-1,1,1,1,1,1,1,1,1,1,1,2,3,-1,1,3,1,1,-1
20,MX4598-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,1,1,1,1,-1
21,MX4458-3,4,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,-1,1,1,1,1,-1
22,MX3651-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,2,1,1,-1
23,MX3783-4,-1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,1,1,1,1,-1
24,MW5264-2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,3,1,1,1,-1
25,MX4598-4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,3,-1,1,1,1,1,-1
26,MX4458-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,2,2,1,1,-1
27,MX3651-5,-1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,3,1,1,1,-1
28,MX4535-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,3,1,1,1,-1
29,MX4598-5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,-1,1,1,1,1,-1
30,MW5264-3,-1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,1,1,1,-1
31,MX4458-5,5,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,2,2,1,1,-1
32,MX3651-6,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,2,2,1,1,-1
33,MX4535-1,1,-1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,4,1,1,-1
34,MX4598-6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,2,-1
35,MW5264-4,-1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,2,1,-1,1,1,1,-1,-1
36,MX4458-6,-1,1,2,-1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1
37,MW5264-5,-1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,-1
38,MX4458-7,-1,-1,1,2,1,-1,3,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,,,,,
