,Bus,C686,C656,C654,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4614-0,,075139,075255,075412,075506,075716,080021,080220,080451,080629,080733,080817,081017,081111,081154,081613,081729,082032,082253,082336,082534,082840,070108,083712
1,MX4041-0,,,,,,,,,,,,,,,,,,,,,070108,070228,070322,070502
2,MX3651-0,,,,,,,,,,,,,,,070108,070450,070607,070945,071155,071239,071430,071757,071913,072039
3,MX4604-0,,,,,,,070108,070131,070354,070450,070556,070640,070807,070850,070923,071345,071503,071757,072133,072217,072407,072744,072901,073038
4,MX4021-0,070108,070300,070354,070502,070650,070818,071112,071239,071503,071620,071714,071757,071924,072039,072123,072544,072700,073017,073300,073344,073448,073710,073837,074014
5,MX4598-0,070618,071050,071207,071312,071430,071558,071840,072007,072101,072155,072250,072345,072533,072617,072711,073121,073300,073637,073920,074058,074257,074602,074718,074857
6,MX4159-0,071808,072228,072334,072428,072628,072722,073038,073132,073333,073437,073531,073626,073743,073909,073952,074435,074602,074857,075211,075255,075517,075820,075926,080136
7,MX4338-0,072217,072428,072533,072639,072806,072944,073228,073311,073520,073605,073721,073753,073909,074014,074047,074457,074635,074857,075211,075402,075654,075820,075936,080158
8,MX4365-0,073520,073616,073732,073837,074025,074130,074446,074635,074857,074951,075045,075117,075233,075340,075412,075820,075947,080324,080545,080722,080912,081049,081154,081331
9,MX4383-0,073732,074151,074246,074340,074635,074750,075045,075222,075316,075423,075517,075611,075737,075853,075947,080346,080502,080733,081132,081309,081457,081927,082104,082231
10,MW5346-0,075716,075926,080032,080125,080303,080346,080712,080828,081100,081216,081331,081436,081551,081729,081823,082231,082357,082618,082851,083040,083252,083430,083535,083651
11,MX4458-0,075853,080324,080441,080545,080850,080912,081154,081248,081457,081613,081718,081801,082000,082032,082115,082534,082650,083018,083252,083325,083524,083840,083944,084112
12,MX4041-1,080839,081111,081143,081248,081436,081624,081906,082021,082253,082357,082441,082524,082639,082734,082755,083156,083314,083640,084006,084050,084300,084437,084531,101845
13,MX3651-1,081823,082054,082137,082220,082419,082639,082935,083018,083252,083347,083451,083535,083712,083806,083851,084250,084405,084657,085002,085200,085504,085851,090008,090157
14,MX4604-1,082054,082639,082744,082902,083051,083145,083513,083629,083851,084006,084123,084206,084343,084510,084542,084951,085138,085504,085724,085807,085924,090230,090439,090617
15,MX4021-1,083408,083817,083923,084029,084228,084322,084614,084824,085055,085200,085316,085410,085536,085702,085746,090230,090345,090555,090921,091058,091319,091754,091910,092109
16,MX4598-1,084155,084604,084657,084814,084929,085106,085410,085619,085724,085818,085934,085956,090157,090251,090324,090805,090921,091141,091447,091649,091910,092215,092330,092458
17,MX4159-1,085326,085547,085652,085746,090030,090302,090628,090816,090931,091036,091141,091225,091353,091531,091616,092058,092225,092614,092825,093013,093259,093659,093815,094004
18,MX4338-1,090113,090345,090439,090534,090805,091025,091319,091426,091700,091827,091920,092026,092152,092319,092404,092825,092941,093215,093552,093743,093953,094321,094437,094615
19,MX4365-1,090837,090931,091036,091130,091342,091520,091859,092026,092120,092225,092330,092353,092520,092625,092720,093129,093310,093626,093931,094131,094332,094731,094847,095025
20,MX1447-0,091627,091920,092015,092131,092353,092604,092951,093035,093140,093237,093342,093426,093615,093732,093815,094259,094427,094648,094930,095119,095416,095836,095952,100130
21,MX4383-1,092037,092258,092426,092531,092720,092825,093129,093237,093331,093426,093531,093637,093805,093859,093953,094404,094532,094847,095119,095321,095605,095858,100014,100202
22,MX4614-1,,092658,092814,092941,093046,093321,093615,093815,093920,094026,094142,094237,094448,094543,094626,095046,095204,095532,095721,095909,100237,100719,100835,101046
23,MX4458-1,093226,093447,093552,093721,093931,094058,094404,094543,094804,094909,095003,095046,095259,095405,095448,095909,100025,100320,100624,100708,100941,101342,101447,101552
24,MW5346-1,094026,094626,094742,094930,095204,095354,095710,095847,100108,100226,100342,100447,100635,100814,100908,101331,101458,101802,102152,102330,102647,103128,103256,103434
25,MX4551-0,095804,100003,100130,100216,100403,100519,100835,101002,101226,101353,101458,101603,101740,101907,102003,102404,102531,102813,103139,103318,103528,103927,104042,104242
26,MX3651-2,095804,100152,100248,100414,100646,100908,101203,101342,101447,101531,101635,101708,101834,101939,102014,102426,102603,103001,103318,103506,103759,104220,104336,104513
27,MX4604-2,101151,101531,101635,101740,101928,102152,102509,102647,102918,103012,103107,103235,103412,103517,103611,104010,104125,104440,104650,104827,104944,105301,105417,105533
28,MX4021-2,102309,102730,102846,102940,103224,103434,103748,103948,104053,104231,104336,104430,104618,104744,104840,105322,105500,105711,110025,110152,110533,111006,111133,111321
29,MX4598-2,103045,103455,103611,103759,103916,104020,104346,104524,104755,104912,105028,105133,105356,105500,105554,110025,110141,110332,110733,110817,111028,111437,111603,133702
30,MX4159-2,104020,104242,104336,104440,104701,104912,105301,105449,105722,105848,105953,110047,110217,110332,110417,110912,111049,111343,111719,111908,112214,112722,112851,115830
31,MX4338-2,104701,104934,105017,105207,105356,105543,105859,110025,110249,110417,110512,110628,110806,110923,111006,111447,111636,111940,112320,112500,112744,113111,113227,113354
32,MX4365-2,110025,110141,110238,110439,110700,110851,111205,111332,111552,111719,111835,111918,112057,112225,112309,112711,112851,113205,113448,113636,113930,114414,114540,114706
33,MX4383-2,110450,110700,110806,110851,111122,111227,111603,111708,111813,111951,112057,112151,112320,112428,112511,112923,113049,113416,113658,113847,114130,114655,114800,114916
34,MP6039-0,112606,113028,113133,113249,113448,113604,114035,114141,114352,114457,114623,114739,114916,115032,115126,115631,115808,120122,120532,120720,121056,121637,121836,122025
35,MX1447-1,,,112805,113006,113144,113321,113731,113941,114214,114341,114507,114623,114822,115011,115115,115620,115757,120111,120521,120720,121046,121625,121752,121941
36,MX4458-2,113028,113448,113542,113647,113836,114003,114247,114341,114551,114717,114905,115054,115232,115358,115431,115851,120039,120311,120542,120731,121046,121459,121615,121752
37,MX4614-2,114518,114843,115000,115054,115315,115503,115902,120017,120238,120405,120532,120636,120836,120952,121046,121520,121647,121951,122249,122438,122803,123140,123236,143426
38,MX4551-1,,,,120437,120658,120825,121215,121332,121542,121742,121836,122014,122152,122332,122449,122920,123057,123413,123801,123950,124210,124640,124809,124924
39,MX4041-2,120709,120752,120836,120930,121056,121215,121510,121647,121752,121908,122003,122119,122227,122354,122500,122930,123118,123424,123812,124001,124337,124841,125007,125134
40,MX3651-3,122332,122626,122731,122836,122952,123118,123352,123540,123801,123928,124033,124127,124315,124431,124525,124935,125102,125450,125851,130040,130301,130607,130712,130852
41,MX4604-3,123118,123319,123435,123550,123801,124001,124304,124452,124724,124841,124946,125040,125209,125407,125450,125902,130018,130301,130640,130745,131040,131515,131642,131820
42,MX4021-3,124852,124957,125051,125155,125356,125523,125851,125956,130218,130344,130500,130556,130745,130924,131018,131442,131558,131935,132243,132410,132736,133157,133315,133452
43,MX4159-3,130902,131134,131253,131431,131620,131747,132156,132410,132631,132809,132925,133030,133210,133337,133431,133924,134113,134439,134836,134941,135308,135835,135950,140218
44,MX4338-3,131112,131358,131504,131609,131831,132030,132316,132421,132642,132820,132936,133114,133253,133420,133525,133946,134218,134439,134846,135013,135435,135845,140024,140141
45,MX4365-3,132736,132914,133008,133114,133304,133409,133734,133902,134135,134323,134500,134626,134814,134930,135024,135435,135602,135845,140241,140346,140712,141254,141432,141610
46,MX4383-3,133503,133828,133935,134041,134218,134417,134803,135013,135247,135414,135551,135646,135835,140003,140046,140502,140640,140924,141254,141410,141747,142240,142345,142512
47,MX4458-3,134930,135613,135740,135907,140141,140346,140712,140902,141134,141254,141359,141505,141704,141831,141914,142356,142544,142953,143415,143542,143858,144309,144436,144636
48,MX4551-2,,140734,140840,140956,141232,141454,141914,142019,142251,142439,142722,142921,143142,143321,143426,143930,144108,144425,144837,144942,145239,145816,145943,150132
49,MX4041-3,141123,141221,141326,141421,141620,141736,142135,142356,142617,142732,143026,143205,143332,143448,143520,143941,144141,144425,144847,144953,145301,150015,150132,150331
50,MX3651-4,141852,142041,142135,142229,142407,142617,142932,143120,143342,143542,143825,144003,144203,144258,144404,144825,144953,145239,145637,145743,150310,150857,151002,151140
51,MX4604-4,142816,143037,143120,143216,143332,143531,143858,144047,144309,144447,144625,144731,144920,145120,145206,145605,145721,150037,150426,150531,151013,151625,151740,151907
52,MX4021-4,144003,144236,144425,144542,144804,144931,145301,145406,145627,145805,150037,150226,150416,150553,150636,151118,151309,151541,152036,152209,152443,153032,153247,153459
53,MX4598-3,144931,145239,145416,145532,145710,145943,150215,150321,150531,150730,150846,151046,151247,151435,151519,152014,152151,152559,153043,153247,153824,154216,154342,154531
54,MX4159-4,150026,150259,150405,150521,150730,150835,151258,151425,151657,151856,152231,152526,152726,152938,153010,153509,153657,154047,154448,154626,155120,155711,155910,160142
55,MX4338-4,150510,150835,150929,151046,151309,151414,151802,152003,152231,152548,153259,153509,153730,153929,154036,154604,154837,155120,155450,155639,160004,160457,160613,160835
56,MX4365-4,151950,152140,152231,152336,152537,152715,153115,153310,153553,153940,154237,154437,154626,154804,154848,155313,155450,155733,160234,160329,160634,161128,161255,161432
57,MX4383-4,153310,153437,153542,153741,153857,154003,154321,154415,154637,154826,155130,155251,155439,155628,155711,160142,160340,160551,161034,161200,161642,162209,162347,162536
58,MX4614-3,153824,153940,154047,154131,154353,154521,154742,154942,155219,155356,155555,155722,155921,160048,160153,160634,160750,161034,161443,161559,162114,162431,162536,162724
59,MX4458-4,154931,155058,155152,155251,155512,155733,160026,160245,160519,160728,161045,161200,161411,161505,161559,162030,162157,162442,162841,162946,163254,163808,163935,164103
60,MX4041-4,160340,160508,160602,160717,160940,161117,161422,161559,161830,162041,162453,162641,162841,163007,163101,163536,163724,163935,164324,164523,164946,165302,165429,165557
61,MX3651-5,161516,161631,161725,161809,162020,162209,162442,162703,162935,163123,163348,163503,163652,163829,163913,164324,164501,164755,165124,165324,165608,165851,170008,170146
62,MX4604-5,162347,162558,162652,162746,,,163420,163619,164052,164241,164346,164501,164701,164744,164841,165302,165451,165817,170345,170417,170732,171354,171520,171742
63,MS2259-0,162852,163018,163123,163305,163442,163724,163935,164030,164252,164418,164555,164829,165052,165146,165230,165651,165841,170240,171141,171248,171742,172235,172351,172612
64,MW5346-2,,,163359,163525,163735,163902,164230,164357,164501,164639,164903,165052,165230,165451,165546,165946,170124,170439,171215,171415,171952,172446,172601,172749
65,MX4021-5,163841,163956,164052,164208,164335,164429,164829,164935,165219,165357,165640,165828,170008,170124,170219,170638,170816,171120,171659,171931,172351,172905,173042,173316
66,MX4598-4,164924,164946,165052,165135,165418,165535,165913,170041,170312,170501,170700,170826,171036,171152,171226,171648,171837,172141,172551,172811,173147,173736,173851,174102
67,MX4551-3,170805,171025,171120,171321,171553,171804,172119,172246,172854,173103,173211,173349,173547,173736,173851,174324,174617,175051,175532,175920,180259,180827,181005,181205
68,MX4159-5,171332,171415,171509,171553,171659,171920,172246,172435,172905,173114,173222,173504,173652,173830,173924,174346,174755,175113,175743,175931,180354,180827,181005,181229
69,MX4338-5,,,,172257,172446,172551,172916,173222,173515,173736,173935,174113,174313,174450,174545,175030,175207,175500,175920,180119,180521,181005,181121,181336
70,MX4365-5,172905,173103,173222,173359,173547,173736,174113,174241,174512,174711,174852,175040,175239,175406,175510,175931,180226,180543,181100,181205,181430,181903,182031,182341
71,MX4383-5,174102,174313,174440,174617,174903,175008,175301,175438,175711,175920,180237,180427,180605,180753,180859,181325,181525,181818,182158,182414,182657,183120,183248,183415
72,MX4614-4,174722,174903,175008,175145,175344,175711,180036,180226,180459,180637,180848,181016,181205,181347,181503,181947,182158,182436,182847,182942,183331,183740,183856,184059
73,MX4458-5,175521,175711,175815,175920,180119,180226,180616,180827,181121,181347,181503,181724,181852,182041,182136,182614,182740,183047,183415,183657,184121,184617,184755,184946
74,MX4041-5,180532,180721,180848,180954,181154,181314,181630,181828,182136,182447,182729,182931,183120,183237,183331,183823,183950,184321,184650,184829,185102,185333,185449,185616
75,MX3651-6,181347,181452,181608,181745,181925,182103,182403,182614,182858,183120,183248,183353,183541,183719,183751,184215,184354,184556,184946,185051,185311,185710,185826,185952
76,MX4604-6,183014,183131,183226,183321,183530,183646,183950,184048,184321,184523,184712,184852,185040,185217,185301,185710,185837,190216,190533,190627,190942,191217,191333,191510
77,MW5346-3,183458,183751,183856,184014,184132,184226,184650,184829,185123,185355,185754,185952,190141,190332,190428,190910,191047,191449,191941,192037,192309,192707,192824,193138
78,MX4021-6,185228,185311,185406,185500,185721,185826,190130,190238,190533,190743,191119,191322,191449,191626,191720,192153,192403,192729,193211,193348,193619,193957,194123,194333
79,MX4598-5,190014,190036,190141,190321,190511,190605,190931,191036,191311,191532,191730,191847,192037,192215,192320,192740,192918,193149,193514,193713,193946,194500,194710,194838
80,MX4551-4,191438,191553,191647,191803,191941,192142,192458,192624,192918,193117,193243,193359,193546,193724,193829,194300,194449,194804,195219,195419,195702,200146,200303,200502
81,MX4159-6,192403,192508,192613,192719,192845,192939,193254,193420,193724,193924,194029,194134,194311,194449,194510,194943,195059,195430,195734,195828,200030,200346,200451,200650
82,MX4338-6,,,,193702,193841,193946,194239,194427,194721,194911,195027,195208,195408,195546,195640,200103,200313,200650,201142,201341,201613,201856,202025,202203
83,MX4365-6,194438,194554,194710,194900,195110,195314,195629,195828,200135,200324,200451,200629,200816,201048,201214,201719,201929,202330,202707,202908,203141,203540,203708,203846
84,MX4614-5,195629,195723,195852,200008,200114,200157,200440,200534,200953,201236,201341,201540,201730,201845,201950,202425,202602,202940,203236,203424,203646,203951,204119,204259
85,MX4383-6,201004,201109,201153,201308,201435,201551,201856,202025,202257,202436,202551,202645,202835,203014,203057,203518,203708,203951,204248,204449,204710,205025,205130,205300
86,MX4458-6,202940,203108,203203,203319,203614,203730,204046,204237,204521,204700,204816,204859,205058,205311,205355,205803,205951,210238,210658,210859,211131,211405,211521,211648
87,MW5346-4,204532,204638,204732,204816,204942,205119,205405,205554,205835,210036,210141,210238,210427,210604,210658,211109,211248,211659,212213,212425,212656,213002,213129,213310
