,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,-1
1,MX1624-0,,,,,,,,,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,2,1,-1,1,-1,-1,1,2,1,-1,-1
2,MW5645-0,1,-1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,-1,1,1,1,-1,-1
3,MX4305-0,,1,1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,-1,1,2,1,-1,-1
4,MX1698-0,1,1,1,1,4,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,2,2,1,-1,-1
5,MX4310-0,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,2,1,1,-1,-1
6,MX1545-0,,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,-1,3,2,1,-1,-1
7,MX1614-0,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,-1,1,2,1,-1,-1
8,MS1953-1,1,1,1,4,5,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,3,2,1,-1,-1
9,MX1624-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,-1,-1,4,3,1,-1,-1
10,MW5645-1,1,1,1,2,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,2,1,-1,-1
11,MX4305-1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,-1,-1,3,2,1,-1,-1
12,MX1698-1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,-1,4,2,1,-1,-1
13,MX4310-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,3,3,1,-1,-1
14,MX1545-1,,,,,,,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,2,3,1,-1,-1
15,MX1614-1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,2,1,2,1,-1,-1,4,2,1,-1,-1
16,MX1693-0,,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,-1,-1,2,2,1,-1,-1
17,MS1953-2,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,2,2,1,-1,-1
18,MX1624-2,1,1,1,2,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,2,2,1,-1,-1
19,MW5645-2,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,-1,2,3,1,-1,-1
20,MX4305-2,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,-1,2,2,1,-1,-1
21,MX1698-2,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,2,1,-1,-1,4,3,1,-1,-1
22,MX4310-2,1,1,3,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,-1,4,2,1,-1,-1
23,MX1545-2,2,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,2,-1,-1,4,2,1,-1,-1
24,MX1693-1,1,1,1,4,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,2,2,4,1,2,1,5,-1,2,2,1,-1,-1
25,MS1953-3,2,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,-1,3,3,1,-1,-1
26,MX1624-3,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,-1,-1,5,3,2,-1,-1
27,MW5645-3,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,2,1,1,3,5,-1,4,4,2,-1,-1
28,MX4305-3,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,5,3,1,-1,-1
29,MX1698-3,,1,1,1,4,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,3,3,1,-1,-1
30,MX4310-3,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,5,3,1,-1,-1
31,MX1545-3,1,1,2,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,4,3,1,-1,-1
32,MX1614-2,1,1,4,1,2,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,-1,4,3,1,-1,-1
33,MS5234-0,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,-1,-1,5,2,2,-1,-1
34,MX1693-2,1,1,1,1,4,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,-1,-1,3,4,1,-1,-1
35,MX1624-4,1,-1,1,1,4,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,2,1,2,3,1,1,1,2,-1,-1,3,4,1,-1,-1
36,MW5645-4,1,1,1,1,4,1,1,1,2,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,3,2,1,3,1,4,-1,5,3,1,-1,-1
37,MX4305-4,1,1,1,1,-1,1,1,1,1,-1,1,2,-1,-1,-1,2,1,1,1,1,1,1,1,1,4,2,1,1,1,-1,-1,3,4,1,-1,-1
38,MX1698-4,,1,1,1,3,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,-1,2,2,1,-1,-1
39,MX4310-4,,1,1,1,4,1,1,1,3,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-1,-1,1,2,1,-1,-1
40,MX1545-4,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,3,1,1,1,1,-1,-1,4,2,1,-1,-1
41,MX1614-3,,,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,-1,1,2,1,-1,-1
