,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,070107,070413,070623,070858,070953,071108,071153,071258,071416,071532,071659,071848,072016,072121
1,MX4068-0,,,,,,,,070107,070152,070402,070457,070540,070942,071203,071405,071532,071638,071743,071921,072016,072059,072154,072311,072806,073051,073323,073544,073651,073746,073902,074029,074217,074333,074639,074807,075303
2,MX1545-0,070107,071047,071203,071247,071511,071616,071859,071954,072038,072121,072205,072238,072712,072924,073112,073239,073344,073450,073629,073735,073851,073945,074123,074607,074902,075135,075241,075420,075611,075855,080040,080236,080908,081225,081340,081626
3,MS2365-0,072755,072913,073018,073101,073218,073511,073913,074039,074228,074311,074406,074512,074957,075218,075409,075537,075706,075739,075939,080040,080214,080308,080447,081003,081246,081604,081742,081930,082050,082145,082324,082441,082630,082938,083139,083355
4,MX1624-0,074756,074902,074957,075040,075252,075453,075823,075939,080027,080124,080214,080257,080824,081130,081319,081447,081658,081752,082003,082050,082230,082324,082536,083022,083249,083544,083734,083901,084102,084442,084620,084727,084948,085136,085305,085621
5,MX1698-0,081057,081520,081626,081731,081941,082101,082430,082557,082641,082854,083011,083044,083617,083912,084113,084231,084431,084558,084810,084916,085031,085126,085232,085749,090032,090232,090349,090505,090705,090843,091022,091139,091306,091508,091637,091909
6,MX1708-0,082251,082430,082547,082736,082905,083022,083439,083617,083828,083923,084051,084136,084905,085126,085338,085443,085642,085749,085916,090021,090148,090305,090505,091000,091255,091519,091658,091847,092016,092155,092311,092511,092638,092943,093311,093501
7,MX3590-0,082630,084159,084253,084431,084716,085042,085349,085516,085632,085854,085959,090043,090610,090811,091000,091106,091306,091413,091553,091637,091731,091826,091942,092500,092733,092900,093133,093300,093355,093501,093544,,,,,094335
8,MS1953-1,,090537,090621,090705,090927,091033,091402,091457,091637,091720,091826,091858,092605,092911,093039,093155,093300,093355,093522,093628,093745,093840,093946,094419,094641,095033,095233,095338,095435,095613,095720,095814,100014,100213,100402,100634
9,MX4068-1,092311,092449,092544,092627,092816,093005,093249,093450,093639,093903,094019,094113,094653,094948,095201,095306,095435,095529,095709,095803,095908,095952,100119,100550,100835,101013,101151,101311,101427,101523,101712,101935,102134,102407,102701,102913
10,MX1545-1,093818,094558,094653,094821,094948,095149,095456,095625,095720,095814,095908,100003,100529,100813,101045,101216,101354,101448,101639,101723,101817,101935,102051,102534,102807,103018,103209,103323,103439,103617,103722,103827,103943,104248,104416,104605
11,MS2365-1,100130,100308,100402,100518,100707,100824,101151,101311,101416,101617,101733,101838,102450,102745,103029,103146,103312,103407,103544,103628,103755,103816,103943,104449,104733,104954,105121,105215,105353,105459,105627,105827,110110,110416,110554,110710
12,MX1624-1,101945,102102,102156,102312,102450,102522,102902,102945,103051,103146,103312,103345,104005,104405,104544,104649,104754,104900,105026,105121,105226,105259,105416,105910,110153,110353,110554,110732,110849,111110,111226,111519,111636,111752,111908,112108
13,MX1698-1,103051,104143,104237,104342,104555,104722,105005,105059,105259,105416,105521,105616,110204,110449,110638,110743,110910,111026,111204,111258,111352,111447,111625,112151,112446,112646,112846,113003,113214,113424,113624,113741,113930,114120,114247,114415
14,MX1708-1,110500,,110743,110859,111037,111226,111647,111814,111919,112014,112130,112202,112729,113024,113246,113402,113519,113624,113814,113919,114037,114142,114309,114804,115037,115236,115446,115552,115752,115929,120047,120330,120542,120848,121026,121237
15,MX3590-1,111530,112941,113035,113203,113340,113457,113814,113930,114131,114225,114331,114415,114848,115058,115331,115425,115603,115635,115802,,115857,120109,120152,120709,120954,121204,121405,121510,121543,121616,,,122141,,,122707
16,MX4068-2,,115719,115813,115940,120152,120330,120658,120816,120943,121204,121332,121416,122003,122341,122541,122656,122835,122940,123056,123140,123308,123414,123530,124046,124340,124529,124645,124751,124908,125046,125203,125319,125457,125635,125740,125856
