,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ3987-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070112,070415
1,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070112,070258,070437,070614,070720,,071242
2,MZ4228-0,,,,,,,,,,,,,,,,,,,,,,,,,,070112,070448,070815,070912,071050,071209,071350,071622,071822,071938,072033,072338
3,MW5853-0,,,,,,,,,,,,,,070112,070215,070342,070437,070531,070709,070934,071006,071050,071147,071253,071401,071455,071927,072244,072349,072600,072716,073001,073211,073411,073516,073611,073905
4,MZ3556-0,,070112,070228,070320,070331,070404,070437,070509,070614,070731,070826,070934,071136,071326,071633,071833,071949,072011,072138,072400,072444,072527,072621,072737,072854,072916,073349,073705,073810,074031,074149,074400,074634,074857,075024,075151,075657
5,MZ3559-0,070228,070742,070912,070934,070956,071039,071050,071136,071220,071326,071433,071538,071705,071833,072149,072233,072338,072411,072600,072854,072927,073012,073117,073233,073338,073411,073821,074127,074221,074456,074612,074802,075024,075257,075447,075635,080153
6,MZ3734-0,071811,071854,072022,072054,072116,072233,072255,072338,072411,072517,072632,072737,072843,073001,073255,073422,073505,073538,073749,073959,074053,074138,074305,074435,074551,074623,075108,075341,075530,075824,075941,080203,080330,080520,080647,080858,081109
7,MX1135-0,,072916,073055,073117,073139,073211,073244,073316,073411,073505,073611,073705,073832,074042,074349,074422,074518,074602,074802,075057,075140,075224,075341,075458,075613,075657,080131,080404,080510,080730,080909,081109,081406,081639,081829,082052,082620
8,MW5964-0,,074326,074337,074400,074422,074456,074518,074602,074656,074802,074857,075002,075118,075246,075530,075624,075846,075919,080120,080353,080436,080531,080647,080847,081015,081120,081522,081829,082019,082346,082503,082620,082852,083103,083219,083325,083641
9,MZ3956-0,075414,075519,075646,075730,075741,075835,075846,075930,080003,080109,080153,080258,080447,080625,080847,081026,081300,081322,081555,081829,081902,081945,082125,082252,082453,082525,083019,083303,083452,083631,083819,084020,084125,084409,084526,084620,085243
10,MZ3978-0,080458,080647,080825,080909,080942,081015,081036,081120,081217,081344,081428,081544,081818,082008,082303,082420,082653,082747,082903,083125,083241,083336,083525,083725,083841,083903,084325,084526,084714,084936,085053,085231,085412,085647,085804,085933,090439
11,MZ3987-1,081555,081756,081934,082019,082030,082114,082136,082219,082252,082357,082453,082631,082820,082914,083219,083420,083652,083757,083947,084209,084252,084347,084526,084703,084853,084947,085423,085742,085944,090418,090534,090701,090947,091347,091525,091631,092042
12,MZ4072-1,083019,083125,083241,083325,083336,083420,083431,083514,083558,083714,083808,083936,084147,084325,084631,084819,084926,085020,085125,085434,085529,085614,085742,085900,090028,090101,090512,090756,090958,091314,091420,091653,091831,092231,092336,092619,092958
13,MZ4228-1,084347,084442,084547,084631,084703,084746,084808,084853,084915,085031,085125,085231,085423,085540,085849,090028,090123,090156,090323,090650,090734,090829,091009,091147,091325,091420,091904,092031,092347,092703,092808,093106,093222,093527,093644,093832,094400
14,MW5853-1,085551,085731,085837,085912,085944,090028,090050,090123,090156,090323,090407,090512,090745,090903,091241,091420,091536,091621,091748,092104,092220,092314,092442,092619,092747,092819,093305,093654,093959,094455,094622,094916,095105,095506,095611,095737,100220
15,MZ3556-1,090712,091347,091525,091621,091642,091715,091737,091809,091842,091958,092053,092147,092347,092453,092808,093020,093127,093211,093338,093600,093644,093800,093916,094043,094220,094327,094737,095138,095622,095853,100009,100327,100541,100804,100921,101142,101616
16,MZ3559-1,091904,091926,092031,092104,092125,092209,092231,092314,092347,092514,092609,092652,092925,093138,093433,093506,093738,093927,094115,094411,094506,094549,094737,094916,095116,095210,095643,095948,100402,101415,101605,101923,102050,102535,102652,102842,103445
17,MZ3734-1,093138,093233,093400,093422,093444,093506,093527,093622,093654,093800,093905,094043,094315,094444,094716,094811,095022,095127,095315,095538,095632,095716,095831,095958,100136,100220,100647,101004,101554,102334,102430,102535,102736,103136,103243,103412,103815
