,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ3987-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1
1,MX1105-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,-1,-1
2,MX1135-0,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,4,1,1,1,1,1,1,1,1,-1,-1
3,MW5853-0,,,,,,,,,,,,,,1,1,1,1,1,1,1,-1,1,1,1,-1,1,3,1,1,1,1,1,1,1,1,-1,-1
4,MZ3556-0,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,1,1,1,-1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
5,MZ3559-0,-1,-1,-1,1,1,-1,-1,1,1,1,3,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
6,MZ3734-0,-1,-1,-1,1,1,1,1,-1,5,2,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
7,MZ3740-0,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,4,1,1,1,1,1,1,1,3,-1,-1
8,MZ3825-0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
9,MZ3956-0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,-1,1,,1,1,3,1,1,1,1,1,1,1,1,-1,-1
10,MZ3978-0,-1,-1,-1,-1,-1,1,-1,1,-1,1,2,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,3,1,1,1,1,1,1,1,1,-1,-1
11,MZ3987-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,4,1,1,1,2,1,2,1,3,-1,-1
12,MX1105-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,3,1,1,1,1,1,1,1,1,-1,-1
13,MX1135-1,,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,-1,1,1,2,1,1,1,2,1,1,1,1,-1,-1
14,MW5853-1,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
15,MZ3556-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,5,1,3,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,3,1,2,1,1,1,1,1,2,-1,-1
16,MZ3559-1,,,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,3,1,1,1,1,2,1,1,1,-1,-1
17,MZ3734-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,2,1,2,1,1,1,1,1,1,-1,-1
18,MZ3740-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,2,1,2,1,2,1,1,1,1,-1,-1
19,MZ3825-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,3,3,1,1,1,1,1,1,1,-1,-1
20,MW5898-0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-1,1,-1,1,1,1,5,4,3,1,1,1,1,1,-1,-1
21,MZ3956-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
22,MZ3978-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,4,1,1,1,1,1,1,1,1,-1,-1
23,MZ3987-2,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,2,2,1,1,1,1,1,1,1,-1,-1
24,MX1105-2,-1,1,1,1,1,1,1,,,,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,2,1,1,1,2,1,1,1,-1,-1
25,MW5943-0,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,4,3,2,1,1,1,1,1,1,-1,-1
26,MX1135-2,,-1,1,1,1,1,1,3,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
27,MW5853-2,,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,2,1,1,1,1,1,1,1,2,-1,-1
28,MP5834-0,-1,-1,1,1,1,1,-1,1,4,1,2,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,3,2,2,1,1,1,1,1,1,-1,-1
29,MW5966-0,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,3,1,1,1,1,1,1,1,1,-1,-1
30,MZ3559-2,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,2,4,2,4,1,2,1,1,1,-1,-1
31,MW5936-0,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,4,2,2,2,1,1,1,1,1,-1,-1
32,MZ3556-2,-1,-1,-1,1,1,1,-1,1,3,2,1,2,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,4,2,1,2,1,1,1,1,1,-1,-1
33,MX1084-0,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,3,3,1,2,1,1,1,1,1,-1,-1
34,MZ3734-2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,2,1,1,3,1,1,1,1,1,-1,-1
35,MZ3740-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,3,1,1,1,-1,-1
36,MZ3825-2,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,2,2,1,1,2,1,1,1,1,-1,-1
37,MZ3956-2,-1,1,1,1,1,1,1,1,-1,1,1,1,3,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,3,2,2,1,1,1,-1,-1
38,MZ3978-2,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,3,2,1,2,2,1,1,1,1,-1,-1
39,MW5943-1,-1,1,-1,1,1,1,1,1,1,1,1,1,2,1,-1,1,1,1,1,1,1,-1,1,1,1,1,3,2,2,2,1,1,1,1,1,-1,-1
40,MZ3987-3,-1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,-1,-1
41,MX1105-3,-1,-1,-1,1,1,1,-1,,1,1,1,1,3,1,-1,1,1,1,1,1,1,1,1,-1,1,1,3,4,1,1,1,2,1,1,1,-1,-1
42,MW5966-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,,,,,1,-1,1,1,1,1,1,3,2,2,1,1,1,1,1,-1,-1
43,MX1135-3,,1,1,1,1,1,-1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,2,4,2,2,1,3,1,1,1,-1,-1
44,MW5853-3,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,3,2,1,3,1,4,1,1,1,-1,-1
45,MW5936-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,2,3,1,2,1,1,1,1,1,-1,-1
46,MZ3556-3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,2,2,2,2,1,1,1,1,1,-1,-1
47,MX1084-1,-1,1,1,1,1,-1,-1,1,3,1,1,1,2,1,-1,2,1,1,1,1,1,-1,1,-1,1,1,4,2,1,2,1,1,1,1,1,-1,-1
48,MZ3559-3,-1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,-1,1,-1,1,1,5,2,1,3,1,1,1,1,1,-1,-1
49,MZ3734-3,-1,1,4,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,-1,1,1,1,1,4,2,2,1,2,1,1,2,1,-1,-1
50,MZ3825-3,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,3,3,2,1,1,2,1,1,1,-1,-1
51,MZ3740-3,-1,-1,1,1,1,1,1,1,-1,1,1,-1,4,1,-1,1,1,1,1,1,1,1,1,-1,1,1,3,2,2,2,1,1,1,1,1,-1,-1
52,MW5645-0,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,1,1,1,1,4,-1,1,1,1,1,4,4,4,2,1,4,1,1,1,-1,-1
53,MZ3956-3,-1,1,1,-1,3,3,1,1,1,1,1,1,,1,1,1,1,1,1,1,3,-1,1,-1,1,1,3,5,4,2,2,1,1,1,1,-1,-1
54,MZ3978-3,-1,-1,-1,2,1,1,-1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,5,3,2,1,1,2,2,1,1,-1,-1
55,MZ3987-4,-1,1,1,1,1,1,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,4,3,2,1,3,1,1,1,1,-1,-1
56,MP6358-0,,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,-1,1,1,1,1,4,2,1,2,1,1,1,1,1,-1,-1
57,MW5943-2,-1,-1,-1,1,1,1,1,1,1,1,1,1,3,1,-1,3,1,1,1,1,1,1,1,-1,1,1,1,2,1,2,1,1,3,1,1,-1,-1
58,MW3417-0,,2,1,1,1,1,1,1,1,4,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,4,2,2,1,1,1,1,1,1,-1,-1
