,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4856-0,,,,,,,,,,,1,-1,-1,-1,1,-1,-1,-1
1,MW4229-0,,,,,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
2,MW4366-0,,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1
3,MW4619-0,1,-1,1,-1,1,1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1
4,MW4647-0,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,MW4781-0,1,,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
6,MW4856-1,,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
7,MX1260-0,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1
8,MW5203-0,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
9,MW4229-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1
10,MW4366-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1
11,MW4619-1,,-1,1,2,3,-1,1,1,1,1,-1,1,2,1,1,-1,-1,-1
12,MW4705-0,1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1
13,MW4647-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1
14,MW4781-1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1
15,MW4856-2,1,-1,1,1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
16,MX1260-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,-1
17,MW5203-1,3,1,1,4,5,4,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1
18,MW4229-2,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1
19,MW4366-2,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
20,MW4619-2,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
21,MW4705-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
22,MW4647-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
23,MW4781-2,3,1,1,2,5,4,1,1,1,1,1,1,1,1,1,-1,-1,-1
24,MW4856-3,3,1,1,1,1,1,1,1,1,,1,1,1,1,1,-1,-1,-1
25,MW4229-3,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1
26,MW4366-3,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
27,MW4647-3,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
28,MW4781-3,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
29,MW4856-4,1,,1,1,1,1,1,1,1,,1,1,-1,1,1,-1,-1,-1
30,MW4229-4,2,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
31,MW4366-4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1
32,MW5084-0,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,-1,-1,-1
33,MW4647-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
34,MW4705-2,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
35,MW5132-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
36,MW4846-0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
37,MW4856-5,1,,1,1,1,1,1,1,1,,1,2,-1,1,1,-1,-1,-1
38,MW4229-5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
39,MW5084-1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,-1,-1,-1
40,MW4705-3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,-1,-1,-1
41,MW5132-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
42,MW4856-6,1,,1,2,1,1,1,-1,1,1,1,-1,3,1,-1,-1,-1,-1
43,MW4229-6,1,1,1,1,-1,-1,1,1,1,1,1,1,2,1,1,-1,-1,-1
44,MW5084-2,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1
45,MW4647-5,1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1
46,MW4856-7,1,,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1
47,MW5084-3,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,MW4647-6,1,1,1,-1,-1,2,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
49,MW4856-8,-1,1,1,-1,-1,-1,1,1,-1,,,,,,,,,
