,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4159-0,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,-1,-1
1,MW4762-0,,,,,,,,,,,,,,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1
2,MX4365-0,,,,,,,,-1,2,-1,1,1,-1,-1,2,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1
3,MX4458-0,-1,,2,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,1,2,1,1,1,1,-1
4,MX4383-0,-1,-1,1,2,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,4,-1
5,MX4535-0,-1,,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,2,1,1,-1,-1,-1,1,1,1,1,1,1,-1
6,MX3651-0,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,,5,-1
7,MX4388-0,-1,1,1,1,-1,1,1,-1,2,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,3,-1
8,MX4159-1,,1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,5,-1
9,MW4762-1,-1,1,1,1,1,2,1,-1,3,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1
10,MX4551-0,-1,,1,1,1,2,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,-1
11,MX4365-1,,1,1,1,1,1,1,-1,3,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,-1
12,MX4458-1,-1,1,1,1,1,1,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
13,MX4383-1,,1,1,1,2,2,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-1
