,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW5142-0,,080453,080653,081052,081241,081430,081737,082052,083144,083238,083322,083438,083554,083650,083807,083901,084006,084112,084206,084311,084544,070103,085006
1,MW4557-0,,,,,,,,,,,,070103,070138,070243,070404,070437,070542,070647,070731,070901,071051,071400,071550
2,AA7301-0,,,,,,,,070103,070837,070945,071040,071231,071400,071455,071613,071814,071849,072007,072113,072251,072345,072701,072829
3,MW4647-0,,,,,,070103,070203,070319,071326,071433,071550,071719,071849,071955,072113,072218,072324,072429,072534,072651,072745,073019,073113
4,MW3430-0,,,,070103,070227,070437,070709,070837,071730,071825,071911,072040,072145,072251,072418,072502,072556,072712,072807,072946,073113,073356,073501
5,AA7336-0,,,070103,070308,070658,071029,071220,071349,072345,072502,072618,072807,072946,073124,073418,073523,073650,073901,074006,074144,074355,074809,074947
6,MW4781-0,,,070415,070720,071018,071315,071528,071825,072818,072913,073029,073145,073312,073428,073606,073701,073806,073911,074038,074217,074355,074830,074947
7,MW4825-0,,070815,071040,071326,071550,071752,072029,072156,073145,073251,073345,073523,073701,073806,073944,074050,074206,074323,074419,074547,074747,075053,075242
8,MW4837-0,071102,071304,071455,071730,072040,072251,072523,072818,073744,073849,073944,074111,074228,074323,074524,074619,074725,074904,074947,075103,075147,075536,075757
9,MP6380-0,071646,073040,073407,073650,073933,074122,074441,074630,075525,075630,075725,075841,075958,080103,080230,080324,080420,080526,080632,080736,080936,081219,081325
10,MR7938-0,,,,,071814,071933,072156,072335,073323,073418,073501,073628,073755,073849,074006,074100,074206,074323,074430,074557,074757,075053,075253
11,AA6802-0,,072029,072335,072745,073102,,074100,,,074841,074904,,075042,075326,075503,075609,,,080125,,080347,080715,080852
12,AA7480-0,072356,072523,072745,073040,073323,073450,073701,073827,074757,074925,075020,075220,075336,075453,075641,075725,075841,075936,080041,080208,080347,080715,080914
13,AA7479-0,072807,073744,074038,074344,074652,074947,075147,075253,080146,080241,080347,080515,080642,080758,080936,081019,081136,081241,081346,081503,081737,082103,082230
14,MW5594-0,074206,074503,074809,075114,075315,075442,075735,075936,080925,081019,081114,081219,081335,081441,081557,081653,081758,081947,082052,082157,082346,082618,082745
15,AA7458-0,074904,074958,075326,075536,075830,075958,080241,080431,081346,081452,081535,081653,081747,081853,082041,082146,082241,082418,082513,082629,082734,083039,083133
16,MW4366-0,075431,075630,075903,080146,080515,080642,080936,081219,082230,082335,082418,082535,082651,082745,082956,083101,083227,083427,083532,083650,083756,084050,084206
17,AA7336-1,081715,081947,082302,082651,083039,083311,083543,083817,084805,084944,085049,085216,085427,085532,085743,085922,090155,090333,090449,090606,090755,091147,091242
18,MW4557-1,,,,,082052,082146,082545,082723,083650,083745,083839,083956,084112,084155,084333,084438,084555,084700,084805,084911,084955,085321,085510
19,AA7301-1,082157,082640,082829,083144,083449,083628,083901,084144,085300,085354,085449,085615,085732,085815,090007,090123,090300,090500,090616,090733,090947,091158,091347
20,MW4825-1,083155,083405,083628,083934,084239,084438,084711,084827,090039,090134,090228,090406,090555,090638,090818,090914,091031,091136,091253,091409,091558,091853,092103
21,MW4647-1,083839,084112,084438,084827,085028,085300,085521,085754,090755,090903,090947,091103,091231,091336,091631,091748,091947,092114,092230,092334,092545,092827,092954
22,AA6802-1,084700,084900,085238,085543,085849,090112,090344,090744,091726,091842,091926,092042,092157,092251,092429,092534,092617,092733,092838,092933,093205,093510,093637
23,MW4781-1,,,085815,090333,090638,090818,091009,091136,092157,092302,092356,,092628,092722,092954,093048,093153,093310,093415,093510,093626,093933,094133
24,MW4837-1,090300,090544,090840,091158,091358,091610,091926,092114,093005,093110,093205,093321,093510,093616,093753,093849,093955,094133,094250,094344,094533,094849,095059
25,AA7480-1,091209,091452,091642,091926,092219,092345,092606,092744,093804,093849,093933,094101,094217,094250,094501,094606,094700,094900,095016,095110,095310,095553,095710
26,AA7479-1,,092805,093005,093332,093626,093804,094101,094344,095332,095437,095531,095648,095815,095847,100025,100130,100224,100426,100531,100647,100803,101119,101214
27,MW5594-1,093415,093721,094039,094406,094628,094754,095048,095205,100404,100520,100615,100803,100909,100953,101119,101214,101319,101459,101604,101709,101909,102152,102613
28,AA7458-1,094606,094711,095121,095458,095836,095941,100213,100319,101415,101459,101554,101659,101814,101858,102036,102130,102224,102340,102446,102551,102646,102929,103034
29,MW4366-1,095509,095626,095930,100235,100531,100637,100858,101119,102203,102246,102402,102530,102656,102802,102951,103056,103151,103329,103445,103540,103751,104035,104223
