,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW4366-0,,,,,,,,,,,,,,,,,,,,,1,1,-1
1,MX1135-0,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,-1
2,AA7842-0,,,,,,,,,,,,-1,-1,1,1,1,1,1,1,1,,,-1
3,AA7418-0,-1,-1,-1,-1,-1,1,4,1,1,,,,,1,1,1,1,1,1,1,1,1,-1
4,AA7530-0,,,,,,,,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
5,AA6952-0,,,,,,,3,1,1,-1,-1,-1,-1,1,,,,,,,1,1,-1
6,MR7964-0,,,,,-1,1,2,1,1,-1,-1,-1,-1,-1,1,1,1,1,3,1,1,1,-1
7,AA7488-0,,-1,1,,-1,4,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
8,AA7303-0,-1,-1,1,-1,-1,1,3,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
9,AA6701-0,,-1,1,-1,-1,2,2,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
10,AA7871-0,,-1,-1,,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
11,MW4825-0,-1,-1,1,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
12,AA7637-0,-1,-1,-1,-1,-1,1,3,1,1,-1,-1,-1,-1,-1,1,1,1,1,5,1,1,1,-1
13,AA7101-0,,,,,-1,,,,1,-1,-1,-1,,,,,1,1,3,1,1,1,-1
14,AA7492-0,-1,-1,1,-1,-1,1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,1,-1
15,MW3346-0,,,,,-1,3,4,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
16,AA7252-0,,-1,1,-1,-1,1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
17,AA7405-0,-1,-1,1,-1,-1,1,3,1,1,-1,-1,,-1,1,1,1,1,1,1,1,1,1,-1
18,MW4366-1,-1,-1,1,-1,-1,1,4,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1
19,AA7530-1,-1,-1,2,,-1,2,3,1,1,-1,-1,,-1,1,1,1,1,5,1,1,1,1,-1
20,AA7536-0,-1,-1,,,-1,2,2,2,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1
21,AA7842-1,-1,-1,,,-1,1,3,1,,,-1,,,,1,1,1,-1,1,1,1,1,-1
22,AA7871-1,-1,-1,-1,-1,-1,4,3,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
23,AA7488-1,-1,-1,-1,-1,-1,4,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
24,AA6701-1,-1,-1,1,-1,-1,1,4,1,1,-1,-1,-1,-1,-1,1,1,1,-1,3,1,1,1,-1
25,AA7303-1,-1,-1,1,-1,-1,3,4,1,1,-1,-1,-1,-1,,1,1,1,-1,4,1,1,1,-1
26,MW4825-1,-1,-1,-1,-1,-1,3,3,4,1,-1,-1,-1,-1,-1,1,1,1,-1,4,1,1,1,-1
27,AA7101-1,,,,,-1,,,,,,,,,-1,1,1,1,-1,4,1,,,-1
28,AA7492-1,,-1,-1,-1,-1,1,4,2,1,-1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
29,AA7637-1,,-1,-1,-1,-1,1,3,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
30,AA7405-1,-1,-1,-1,-1,,1,4,1,1,-1,-1,,-1,1,1,1,1,1,2,1,1,1,-1
31,MW4366-2,-1,-1,1,-1,-1,1,4,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1
32,AA7530-2,-1,-1,1,,-1,5,4,4,2,-1,-1,,-1,-1,1,1,1,-1,3,1,1,1,-1
33,AA6701-2,-1,-1,-1,-1,-1,3,3,3,2,-1,-1,,-1,1,1,1,1,1,1,1,1,1,-1
34,AA7842-2,-1,-1,-1,,-1,2,3,2,1,-1,-1,-1,-1,-1,1,1,,,,,,,-1
35,AA7418-1,,-1,1,-1,-1,2,4,2,,,,,,,,,1,,,,1,,-1
36,AA6952-1,,-1,-1,,,,,1,1,-1,-1,,-1,,1,1,1,1,1,1,1,1,-1
37,AA7303-2,,-1,-1,-1,-1,1,4,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1
38,MW4825-2,-1,-1,1,-1,-1,1,3,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
39,AA7405-2,-1,-1,1,-1,,1,3,1,1,-1,-1,-1,-1,-1,1,1,1,-1,2,1,1,1,-1
40,MW4366-3,,-1,1,-1,-1,1,4,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1
41,AA7842-3,,,,,-1,1,4,1,1,-1,-1,-1,-1,-1,,,,,,,,1,-1
42,AA7418-2,,,,,-1,2,4,1,,,,,-1,-1,1,1,1,-1,1,1,1,1,-1
43,AA6952-2,,,1,-1,-1,,4,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
44,AA7488-2,,,,,-1,4,4,1,1,,,,,,,,,,,,,1,-1
45,AA7303-3,-1,-1,-1,-1,-1,1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
