,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4535-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070201,070233,070447,070743,070910,071037
1,MX3651-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070201,070256,070351,070815,070953,071205,071417,071555,071745,072136,072304,072420
2,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070244,070414,070531,070637,070743,070826,071015,071059,071132,071606,071734,072008,072336,072526,072716,073023,073151,073309
3,MX3783-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070244,070351,070615,070837,070953,071059,071205,071311,071344,071501,071545,071606,072019,072136,072358,072716,072800,072906,073214,073309,073437
4,MX4041-0,,,,,,,,,,,,,,,,,,,,,,,070103,070128,070211,070329,070403,070615,070721,070859,071004,071216,071501,071723,071840,071946,072052,072147,072304,072358,072504,072950,073140,073437,073700,073850,074050,074241,074358,074558
5,MX4159-0,,,,,,,,,,,,,,,,070103,070222,070351,070425,070509,070626,070932,071059,071238,071344,071450,071523,071650,071807,071935,072125,072220,072526,072643,072906,073034,073118,073151,073320,073415,073510,073912,074039,074252,074620,074704,074904,075148,075306,075423
6,MX4338-0,,,,,,,,,,,070103,070520,070604,070710,070805,070859,071004,071110,071154,071216,071344,071628,071723,071840,072008,072114,072220,072325,072431,072609,072738,072950,073258,073426,073700,073806,073850,073945,074050,074206,074252,074653,074853,075105,075401,075602,075708,080037,080153,080321
7,MX4365-0,,,,,,070103,070233,070329,070509,070626,070815,071344,071439,071545,071650,071745,071851,072041,072125,072158,072325,072621,072727,072928,073034,073151,073236,073415,073521,073649,073817,073956,074252,074431,074525,074620,074725,074809,074904,075010,075043,075444,075550,075920,080153,080343,080511,080840,080945,081113
8,MX4383-0,070103,070329,070615,070721,070743,070953,071154,071300,071450,071617,071840,072420,072526,072621,072738,072833,073012,073151,073225,073258,073437,073755,073956,074155,074314,074431,074536,074714,074820,074959,075138,075328,075635,075825,080059,080226,080343,080427,080554,080721,080807,081251,081419,081746,082103,082146,082314,082643,082832,083010
9,MX4388-0,,071333,071534,071606,071701,072008,072136,072231,072420,072643,072855,073415,073510,073616,073733,073828,073956,074145,074230,074314,074420,074747,074948,075222,075401,075528,075602,075741,075847,075953,080120,080226,080500,080616,080851,080956,081051,081135,081240,081346,081419,081830,081935,082208,082453,082632,082854,083148,083306,083422
10,MX4604-0,071840,072114,072420,072504,072537,072727,072917,073001,073203,073258,,074018,074134,074206,074336,074420,074525,074620,074653,074820,074926,075222,075433,075613,075719,075836,075920,080120,080237,080638,080733,080851,081124,081218,081335,081452,081608,081652,,081903,081935,082347,082504,082810,083032,083221,083455,083706,083812,083950
11,MX4535-1,072705,073023,073258,073353,073437,073744,073900,073945,074145,074314,074536,075105,075211,075317,075433,075528,075647,075752,075836,080015,080153,080532,080733,080912,081040,081218,081324,081524,081640,081841,081957,082125,082442,082621,082916,083021,083126,083233,083400,083506,083600,084036,084214,084448,084806,084945,085101,085526,085726,085843
12,MX3651-1,073543,074007,074155,074241,074314,074503,074642,074725,074915,075127,075401,075847,075953,080037,080215,080248,080405,080543,080627,080659,080829,081207,081346,081524,081713,081830,081914,082041,082219,082526,082704,082843,083148,083244,083455,083611,083706,083750,083928,084047,084131,084605,084733,085101,085347,085537,085904,090306,090414,090542
13,MS1953-1,074336,074809,074937,075010,075043,075211,075412,075506,075708,075803,080004,080554,080659,080755,080902,080934,081113,081207,081251,081408,081524,081852,082008,082146,082252,082420,082453,082643,082748,083043,083233,083400,083706,083823,084058,084152,084247,084320,084510,084554,084638,085123,085303,085515,085748,085926,090116,090447,090616,090710
14,MX3783-1,075528,075708,075920,080015,080026,080237,080354,080449,080638,080807,081229,081808,081935,082041,082146,082219,082336,082431,082504,082621,082715,083010,083126,083327,083422,083549,083622,083750,083855,083950,084203,084342,084711,084828,085051,085207,085252,085358,085537,085621,085716,090116,090339,090531,090901,091040,091252,091441,091547,091704
15,MX4041-1,080321,080605,080851,080934,081040,081251,081346,081535,081652,081830,082041,082610,082704,082810,082916,083021,083221,083338,083422,083506,083611,083928,084120,084236,084342,084510,084543,084722,084828,,085252,085504,085810,090021,090116,090233,090317,090425,090553,090659,090743,091157,091325,091536,091832,092033,092255,092508,092648,092806
16,MX4159-1,080923,081408,081713,081746,081808,082008,082103,082157,082358,082453,082715,083306,083400,083455,083611,083716,083855,083950,084036,084058,084203,084521,084616,084806,084912,085040,085101,085241,085358,085515,085726,085843,090116,090211,090317,090425,090520,090542,090659,090754,090838,091241,091347,091547,091843,092033,092255,092648,092744,092912
17,MX4338-1,082230,082336,082515,082537,082654,082905,083032,083115,083148,083306,083517,084025,084120,084214,084320,084415,084543,084733,084817,084901,085029,085303,085504,085643,085737,085904,085937,090105,090222,090425,090627,090849,091124,091219,091336,091431,091536,091642,091843,091949,092011,092424,092541,092817,093158,093336,093620,093938,094106,094222
18,MX4365-1,082843,083306,083611,083655,083728,083917,084025,084120,084258,084521,084733,085241,085358,085453,085537,085632,085759,085937,090021,090105,090211,090531,090732,090901,091007,091135,091219,091358,091526,091642,091821,092000,092317,092424,092530,092637,092744,092817,092934,093040,093125,093609,093759,094022,094329,094509,094710,095123,095252,095420
19,MX4383-1,083855,084236,084521,084543,084627,084934,085145,085218,085358,085537,085759,090306,090414,090531,090710,090805,090934,091135,091230,091325,091504,091905,092117,092351,092457,092637,092732,092923,093019,093158,093420,093620,094000,094106,094351,094509,094648,094743,094923,095039,095134,095547,095748,100105,100433,100623,100803,101111,101240,101357
20,MX4388-1,,085207,085526,085610,085737,085948,090116,090211,090403,090553,090816,091336,091431,091526,091620,091715,091832,091949,092022,092106,092212,092508,092720,092839,092945,093103,093136,093303,093409,093537,093759,093905,094150,094307,094531,094648,094743,094850,094956,095101,095145,095547,095821,100105,100422,100455,100601,100848,101016,101122
21,MX4604-1,085537,,090317,090447,090509,090710,090901,090956,091146,091241,091620,092201,092329,092435,092552,,,092934,093030,093103,093209,093504,093620,093810,093905,094011,094044,094211,094318,094648,094839,094956,095325,095409,095642,095748,095832,095927,100054,100200,100233,100645,100803,101122,,101558,101809,102159,102305,102400
22,MX4535-2,090743,090945,091314,091336,091420,091620,091843,091927,092117,092234,092648,093220,093325,093431,093609,093704,093821,094033,094117,094256,094402,094817,094956,095145,095230,095358,095441,095621,095759,095959,100233,100400,100803,100921,101133,101251,101408,101503,101653,101820,101926,102411,102550,102814,103123,103325,103526,103943,104038,104206
23,MX4551-0,091441,091610,091810,091832,091949,092212,092413,092519,092710,092839,093052,093631,093726,093843,094000,094055,094245,094436,094509,094637,094806,095134,095347,095536,095642,095810,095843,100021,100138,,100539,100634,100943,101111,101335,101419,101536,101631,101747,101853,101959,102422,102601,103006,103314,103409,103548,103943,104100,104241
24,MX3651-2,091821,092424,092732,092806,092850,093040,093209,093303,093504,093704,093927,094425,094531,094648,094817,094901,095028,095145,095241,095409,095514,095821,095959,100149,100338,100506,100550,100803,100910,101111,101324,101514,101842,102021,102254,102400,102506,102550,102718,102836,102933,103409,103559,103826,104111,104252,104420,104759,104917,105055
25,MS1953-2,092839,093209,093526,093620,093653,093927,094011,094150,094307,094509,094732,095303,095409,095514,095621,095715,095854,100105,100149,100233,100349,100656,100859,101027,101155,101324,101419,101631,101726,101842,102032,102159,102455,102601,102825,102933,103039,103134,103314,103358,103453,103943,104122,104431,104821,104906,105117,105458,105627,105745
26,MX3783-2,093737,094011,094329,094351,094509,094743,094923,095017,095156,095336,095558,100211,100305,100411,100539,100656,100815,100921,101016,101100,101217,101525,101758,101915,102021,102159,102233,102455,102601,102730,103028,103208,103515,103706,103943,104133,104241,104347,104526,104704,104748,105309,105353,105700,110009,110158,110326,110654,110811,110939
27,MX4041-2,094414,094817,095134,095208,095347,095653,095854,095948,100149,100349,100815,101419,101525,101631,101758,101842,102032,102148,102233,102400,102539,102814,102933,103219,103336,103515,103548,103717,103815,,104230,104442,104821,105011,105236,105342,105458,105543,105722,105903,105947,110410,110548,110928,111151,111342,111700,112133,112301,112429
28,MX4598-0,094531,100752,101005,101100,101133,101419,101620,101715,101904,102053,102444,103134,103252,103420,103548,103644,103815,104016,104100,104241,104347,104726,104938,,105236,105425,105521,105745,105852,110041,110304,110454,110833,111056,111320,111448,111605,111711,111900,112028,112123,112546,112713,113007,113251,113441,113632,114214,114353,114543
29,MX4159-2,095230,095748,100010,100054,100127,100349,100444,100517,100718,100815,101206,101715,101758,101904,102032,102137,102316,102411,102506,102550,102656,103006,103156,103325,103420,103526,103612,103804,103910,104314,104453,104559,104906,105022,105247,105404,105521,105554,105722,105819,105947,110359,110516,110738,111140,111214,111521,111900,112111,112301
30,MX4338-2,101038,101346,101704,101758,101831,102104,102159,102243,102433,102634,103101,103706,103826,103932,104049,104144,104325,104431,104515,104620,104737,105044,105214,105425,105532,105711,105807,105947,110052,110220,110410,110610,110939,111056,111151,111257,111404,111459,111627,111755,111816,112228,112407,112756,113051,113241,113558,113855,114003,114058
