,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MS2365-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-1,1,1,-1,1,1,-1,1,1,-1
1,MX1693-0,,,,,,,,,,,,,,,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,2,1,1,-1,1,1,1,1,1,1,1,1,-1
2,MS2259-0,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,3,1,,,1,-1
3,MX1698-0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1
4,MX4068-0,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1
5,MS1953-0,,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,3,1,1,1,1,-1
6,MX4310-0,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,2,1,1,1,1,-1
7,MX1624-0,1,1,1,1,1,3,1,1,1,3,1,2,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,4,1,1,1,1,-1
8,MS2365-1,,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,2,1,1,1,1,-1
9,MX1693-1,,1,1,3,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,2,1,-1
10,MS2259-1,1,1,1,2,1,,1,1,1,,,,,1,1,1,1,,1,1,1,-1,-1,1,1,-1,,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
11,MX1698-1,,2,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,2,1,-1,1,-1
12,MX4068-1,,1,2,3,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
13,MS1953-1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
14,MS2243-0,,1,1,1,1,2,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,4,-1
15,MX4310-1,,3,1,1,1,2,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1,1,2,3,4,-1
16,MX1624-1,,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,3,1,-1,1,-1
17,MS2365-2,,1,2,4,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
18,MX1693-2,,1,1,2,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,2,1,1,1,-1
19,MS2259-2,,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,3,,1,1,-1
20,MX1698-2,,1,1,2,1,2,3,1,1,1,1,1,1,-1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
21,MS2243-1,1,1,1,2,1,1,3,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,2,1,,1,1,-1
22,MS1953-2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
23,MX4310-2,4,1,1,1,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,2,1,1,1,-1
24,MX1624-2,2,1,1,3,1,2,3,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,3,1,1,1,5,-1
25,MS2365-3,1,1,1,2,3,1,4,1,4,1,1,1,1,-1,1,2,1,1,1,1,2,-1,-1,1,1,-1,-1,-1,-1,1,2,1,-1,1,1,1,1,1,1,1,1,-1
