,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070153,070648,070921,071132,071343,071511,071606,071700,071806,071900,072006,072206,072333,072439
1,MS1695-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070204,070310,070353,070615,070710,070742,071311,071533,071711,071755,071849,071922,072028,072122,072228,072301,072417,072923,073145,073344,073513,073651,073745,073924,074030,074124,074240,074452,074608,074735
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070215,070353,070509,070742,070859,070921,071026,071110,071153,071627,071911,072038,072155,072250,072355,072544,072617,072722,072755,072934,073429,073702,073957,074113,074218,074408,074536,074630,074735,074903,075051,075229,075324
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070248,,070542,070648,070742,070849,070932,070954,071121,071449,071816,,072112,072228,072312,072428,072555,073007,073218,073418,073818,073946,074030,074251,074346,074441,,075218,075407,075546,,075757,075924,080019,080157,080219,080337,080854,081116,081316,,081611,081655,082002,082151,082341,082603,082709,082720,083112
4,MS1935-0,,,,,,,,,,,,,070107,070204,070615,070742,070838,071048,071059,071238,071311,071511,071711,071932,072049,072301,072428,072533,072701,072733,072850,072945,073029,073155,073334,073713,073935,074124,074229,074335,074430,074608,074724,,075440,075513,075840,075957,080041,080302,080348,080420,080916,081149,081349,081538,081706,081812,082002,082141,082308,082403,082520,083007,083230,083440,083557,083748,083915,084148,084315,084432,084537,084810,,085305
5,MW3053-0,,070107,070237,070404,070553,070816,071005,071110,071216,071311,071449,071554,071649,072006,072344,072512,072555,072722,072807,072945,073018,073239,073534,073745,073818,073935,074102,074218,074335,074430,074536,074619,074641,074714,074830,075135,075251,075502,075557,075703,075746,080052,080230,080642,080905,081138,081444,081601,081823,081906,082046,082141,082838,083123,083357,083609,083748,083905,084105,084221,084410,084504,084726,085244,085527,085846,085951,090056,090224,090351,090457,090614,090741,091025,091216,091322
6,MS2365-0,072049,072122,072417,072744,073029,073418,073651,073840,074208,074251,074452,074619,074830,075229,075629,075830,075913,080052,080157,080337,080420,080620,080916,081127,081221,081422,081611,081655,081906,082002,082035,082141,082213,082235,082403,082753,082956,083112,083240,083335,083419,083641,083810,084210,084410,084504,084905,085043,085222,085327,085455,085538,090118,090435,090636,090825,091014,091109,091300,091416,091533,091641,091809,092326,092611,092836,092953,093121,093237,093522,093640,093819,093935,094103,094230,094454
7,MW2390-1,073924,074302,074630,074913,075157,075546,075713,075851,080019,080124,080348,080504,080558,080926,081305,081433,081516,081706,081801,081939,082024,082352,082625,083029,083230,083419,083535,083630,083748,083854,083937,084021,084116,084221,084348,084705,084843,085010,085149,085305,085338,085549,085644,090002,090151,090307,090647,090730,090825,090920,090953,091025,091852,092104,092242,092432,,,,,093110,093216,093343,093841,094124,094325,094421,094611,094811,094917,095023,095214,095310,095556,095701,095840
8,MW2856-0,,075629,075840,080103,080453,080759,081032,081149,081305,081349,081601,081655,081750,082141,082552,082827,082912,083050,083135,083346,083451,083821,084116,084504,084621,084832,085010,085127,085305,085400,085506,085600,085644,085706,085846,090151,090307,090508,090658,090752,090836,091025,091132,091544,091703,091852,092159,092337,092432,092706,092825,092909,093713,094041,094241,094421,094527,094654,094833,,095046,095141,095321,095829,100158,100348,100504,100653,100842,101021,101148,101316,101433,101728,101856,102013
9,MS1695-1,,081232,081601,081739,082202,082509,082647,082816,083112,083208,083346,083502,083703,084021,084410,084526,084610,084737,084832,084959,085054,085254,085517,085929,090056,090246,090414,090519,090730,090847,091014,091143,091205,091238,091343,091618,091725,091925,092020,092115,092148,092304,092421,092706,092942,093015,093310,093439,093522,093724,093852,093946,094749,095108,095321,095449,095607,095650,095818,095913,100053,100136,100315,100748,101010,101137,101327,101506,101600,101739,101907,102002,102131,102343,102522,102757
