,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
0,MZ3734-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,070105,070203,070235,070331,070427,070510,070605,070649,070733,070901,070945
1,MZ3740-0,,,,,,,,,,,,,,,,,,,,,,,,,070105,070213,070427,070532,070627,070700,070744,070818,070839,070901,070934,070956,071101,071144
2,MZ3825-0,,,,,,,,,,,,,,070105,070140,070247,070342,070532,070627,070733,070818,070901,070934,071112,071440,071639,071806,071911,072018,072051,072157,072230,072252,072314,072358,072430,072558,072641
3,MZ3956-0,,,,,,,,,070105,070247,070416,070923,071017,071112,071239,071322,071419,071618,071723,071838,071932,072007,072051,072219,072547,072747,073031,073114,073231,073325,073441,073514,073558,073630,073724,073746,073902,073946
4,MZ3978-0,070320,070405,070711,070850,071133,071419,071556,071701,071827,072007,072113,072714,072820,072925,073053,073158,073314,073558,073713,073830,073946,074029,074124,074250,074701,074912,075133,075322,075438,075532,075649,075722,075827,075849,075932,080016,080121,080215
5,MW3417-0,070554,071900,072252,072441,072703,073009,073103,073242,073409,073652,073735,074312,074418,074523,074650,074744,074850,075100,075206,075311,075405,075416,075510,075627,075932,080121,080331,080436,080552,080636,080730,080814,080908,080930,081003,081036,081152,081225
6,MZ3987-0,071144,071408,071545,071733,072018,072409,072558,072703,072853,073136,073314,073808,073924,074008,074134,074229,074323,074534,074639,074744,074829,074912,075017,075206,075510,075733,075921,080027,080143,080215,080320,080404,080458,080520,080614,080646,080814,080858
7,MW5191-0,072347,072452,072631,072853,073042,073325,073536,073641,073819,073957,074124,074618,074712,074807,074934,075028,075122,075332,075438,075543,075627,075649,075711,075838,080205,080404,080541,080657,080814,080836,080930,081003,081047,081109,081142,081203,081309,081353
8,MX1135-0,,073547,073724,073935,074250,074650,074744,074912,075122,075427,075605,080121,080226,080331,080458,080603,080657,080930,081025,081152,081342,081414,081436,081603,081931,082154,082449,082554,082659,082732,082848,082943,083049,083121,083215,083248,083416,083521
9,MW5853-0,,074817,075028,075206,075427,075722,075849,080016,080132,080320,080425,080919,081014,081120,081258,081403,081458,081709,081814,081920,082005,082048,082216,082354,082743,082943,083143,083248,083416,083448,083554,083627,083722,083806,083901,083922,084051,084135
10,MX1260-0,075932,080215,080447,080719,080919,081225,081331,081436,081647,081920,082048,082627,082721,082900,083038,083143,083248,083521,083616,083755,083944,084029,084051,084219,084557,084808,085041,085135,085335,085430,085536,085620,085714,085759,085847,085859,090015,090059
11,MZ3559-0,,081258,081509,081730,081931,082259,082511,082616,082815,083132,083321,083817,083933,084102,084252,084357,084452,084652,084746,084903,084957,085030,085102,085229,085536,085736,085954,090059,090215,090248,090404,090437,090531,090603,090636,090658,090825,090908
12,MZ3734-1,082110,082343,082543,082721,082943,083259,083342,083627,084007,084219,084335,084830,084925,085041,085229,085324,085419,085547,085631,085759,085932,090005,090026,090131,090447,090636,090919,091014,091130,091203,091308,091402,091424,091446,091540,091551,091730,091813
13,MZ3740-1,083215,083448,083755,084040,084230,084513,084702,084830,085135,085430,085558,090037,090153,090258,090426,090509,090603,090825,090919,091025,091151,091225,091308,091435,091802,091940,092119,092203,092320,092404,092509,092553,092625,092647,092741,092814,092932,093026
14,MZ3825-1,084419,084513,084652,084841,085113,085452,085547,085714,090037,090248,090426,090908,091003,091057,091235,091330,091424,091646,091740,091908,091951,092036,092119,092214,092531,092731,093004,093059,093216,093259,093405,093437,093459,093520,093604,093648,093815,093859
15,MW5898-0,085240,085324,085620,085831,090342,090708,090941,091151,091341,091540,091646,092203,092309,092425,092553,092658,092803,093015,093121,093227,093405,093437,093520,093626,094039,094207,094441,094546,094703,094735,094841,094935,094957,095019,095113,095134,095301,095408
16,MZ3956-1,090342,090636,090836,090952,091225,091740,091813,091940,092247,092520,092647,093216,093259,093416,093542,093648,093753,093944,094028,094207,094324,094357,094430,094557,094925,095102,095218,095334,095430,095524,095630,095703,095747,095809,095903,095946,100042,100137
17,MZ3978-1,091246,091435,091657,091857,092130,092553,092803,092943,093216,093416,093531,094028,094144,094302,094430,094536,094641,094935,095040,095145,095240,095312,095357,095513,095809,095946,100233,100349,100516,100600,100728,100833,100857,100919,101013,101035,101140,101227
18,MZ3987-1,092236,092520,092814,092943,093154,093520,093742,093911,094050,094251,094525,095040,095145,095250,095419,095524,095619,095809,095914,100020,100200,100233,100316,100433,100728,100919,101108,101238,101344,101405,101521,101604,101648,101710,101804,101825,101952,102036
19,MW5966-0,092803,101615,101858,102130,102508,103035,103240,103524,103756,104251,104334,104917,105045,105217,105344,105503,105620,105820,105936,110103,110157,110241,110357,110535,110913,111051,111303,111431,111536,111609,111725,111809,111842,111904,112009,112042,112147,112253
20,MW5191-1,093626,093859,094039,094514,094852,095312,095557,095725,095903,100115,100400,100930,101024,101129,101311,101427,101532,101804,101909,102036,102225,102319,102446,102551,102919,103024,103229,103408,103502,103545,103701,103807,103828,103850,103923,103955,104122,104207
21,MW5943-0,094346,094703,095019,095357,095758,100149,100411,100549,100822,101057,101227,101804,101931,102108,102247,102341,102435,102635,102751,102919,103013,103057,103218,103345,103745,103955,104229,104345,104514,104620,104725,104809,104906,104928,105023,105056,105217,105250
22,MX1135-1,,095513,095725,100009,100211,100527,100749,101002,101227,101521,101648,102319,102435,102540,102729,102846,103002,103240,103345,103502,103607,103651,103756,103944,104313,104503,104725,104853,105023,105045,105205,105250,105312,105357,105452,105536,105652,105747
23,MW5853-1,100527,100549,100908,101057,101427,101731,102014,102119,102424,102740,102908,103418,103513,103640,103839,104017,104122,104302,104408,104536,104652,104747,104906,105012,105357,105525,105736,105903,110020,110114,110219,110252,110324,110346,110441,110513,110619,110702
24,MX1084-0,102130,110441,110735,111113,111504,111831,112053,112315,112505,112916,113104,113613,113741,113919,114132,114301,114357,114631,114726,114854,115010,115043,115116,115233,115549,115801,120003,120109,120226,120259,120415,120448,120542,120636,120658,120742,120847,120931
25,MW5936-0,102835,104302,104514,104758,105312,105631,105842,110009,110157,110452,110619,111146,111230,111358,111525,111652,111747,112009,112104,112220,112409,112444,112505,112621,112916,113032,113213,113318,113412,113456,113602,113657,113719,113741,113814,113836,113941,114048
26,MZ3559-1,102857,103013,103323,103651,103912,104207,104419,104558,104853,105217,105344,105925,110030,110157,110335,110452,110557,110902,111007,111124,111252,111335,111420,111547,111904,112126,112304,112433,112559,112654,112800,112844,112905,112927,113010,113043,113202,113235
27,MX1260-1,105001,105129,105441,105631,105936,110357,110640,110746,111029,111324,111620,112159,112304,112559,112717,112822,112927,113235,113340,113517,113708,113752,113825,114003,114301,114503,114653,114758,114916,115010,115105,115200,115233,115306,115400,115433,115549,115633
28,MW5898-1,111525,111758,112115,112409,112959,113246,113434,113708,113941,114408,114536,115105,115211,115349,115611,115750,115908,120109,120215,120415,120532,120615,120731,120920,121308,121457,121730,121825,121952,122204,122320,122414,122447,122531,122614,122658,122826,122920
29,MZ3734-2,112409,112559,112833,113115,113657,114217,114441,114822,115105,115422,115549,120120,120226,120342,120604,120709,120804,121036,121141,121341,121446,121518,121646,121814,122204,122403,122636,122815,122931,123014,123141,123215,123302,123324,123419,123430,123557,123641
30,MZ3740-2,113235,113646,113858,114155,114916,115255,115505,115801,120048,120259,120415,120858,120953,121109,121236,121341,121435,121624,121730,121952,122048,122121,122215,122331,122647,122815,123047,123204,123312,123357,123514,123547,123630,123652,123725,123747,123914,124009
31,MZ3825-2,,114726,114959,115200,115611,115919,120059,120404,120626,120909,121015,121540,121646,121825,121941,122110,122204,122353,122447,122636,122741,122826,122859,123025,123324,123441,123725,123808,123914,123936,124041,124147,124209,124231,124315,124337,124433,124516
32,MZ3956-2,115549,115811,115951,120204,120353,120648,120909,121341,121657,122110,122237,122815,122931,123119,123324,123441,123608,123830,124020,124209,124421,124505,124644,124749,125127,125244,125444,,125812,125833,130000,130044,130105,130138,130221,130253,130411,130455
33,MZ3978-2,121004,121130,121446,121741,121857,122520,123153,123525,123830,124147,124326,124821,124938,125116,125306,125422,125538,125812,125928,130033,130148,130232,130337,130516,130821,131021,131306,131412,131528,131602,131708,131814,131858,131942,132014,132036,132214,132236
34,MW5943-1,,122447,122837,123119,123345,124505,124706,124949,125244,125612,125750,130422,130516,130654,130832,130959,131126,131350,131506,131708,131825,131920,132025,132152,132435,132708,133006,133122,133249,133321,133438,133532,133616,133649,133732,133754,133910,133943
35,MZ3987-2,122837,123251,123547,123819,124020,124655,124916,125255,125517,125823,130000,130527,130632,130749,131010,131126,131234,131444,131550,131708,131825,131920,132036,132203,132541,132718,133006,133133,133249,133332,133532,133616,133649,133710,133743,133816,133943,134015
36,MW5191-2,123652,124103,124326,124644,125054,125444,125728,130022,130315,130505,130821,131328,131444,131613,131920,132025,132130,132425,132541,132657,132911,132955,133017,133133,133438,133616,133849,133954,134109,134131,134247,134320,134341,134403,134457,134530,134636,134708
37,MW5853-2,124622,131021,131317,131550,131646,132058,132236,132508,132802,133111,133300,133816,133859,134005,134142,134258,134403,134603,134636,134824,134952,135035,135214,135341,135742,135952,140141,140323,140442,140526,140642,140725,140812,140834,140908,140941,141057,141140
38,MW5966-1,124949,125043,125506,125812,130315,130716,130927,131148,131433,131729,132014,132613,132718,132911,133111,133216,133321,133616,133754,133932,134048,134131,134236,134403,134719,134908,135035,135140,135258,135352,135458,135531,135553,135614,135709,135731,135836,135931
39,MX1135-2,125906,130000,130221,130600,130810,131115,131339,131753,132152,132519,132837,133438,133605,133659,133859,134005,134120,134425,134530,134708,134941,135035,135203,135319,135658,135836,140131,140312,140431,140515,140620,140725,140800,140823,140857,140941,141046,141129
40,MW5936-1,131539,131847,132036,132341,132718,133249,133405,133859,134403,134625,134930,135509,135542,135709,135909,140025,140141,140357,140526,140725,140834,140919,141046,141214,141553,141815,141933,142111,142216,142300,142417,142511,142544,142605,142700,142721,142817,142838
41,MX1260-2,132530,132635,133006,133238,133354,133710,133838,134519,134835,135203,135341,135920,140014,140131,140409,140515,140631,140919,141035,141152,141353,141437,141615,141732,142132,142321,142522,142638,142743,142838,142954,143038,143110,143132,143216,143259,143415,143531
42,MX1084-1,,133710,133943,134215,134447,134741,135247,135709,140109,140453,140749,141415,141604,141721,141933,142100,142216,142511,142700,142849,143049,143143,143259,143426,143741,143920,144120,144248,144405,144438,144554,144649,144711,144732,144816,144849,144944,145049
43,MZ3559-2,133954,134236,134457,134741,135119,135542,140047,140558,140823,141046,141236,141815,141911,142049,142311,142450,142554,142743,142838,143038,143237,143321,143404,143531,143847,144014,144131,144237,144354,144427,144543,144616,144649,144711,144805,144838,144944,145039
44,MZ3734-3,135024,135309,135625,135814,140131,140812,141236,141805,142132,142522,142838,143447,143520,143658,144047,144214,144438,144627,144754,144955,145122,145229,145335,145442,145846,145942,150158,150314,150432,150516,150654,150800,150822,150905,151000,151022,151149,151259
45,MZ3740-3,,140930,141057,141341,141659,142238,142710,143027,143216,143541,143909,144511,144616,144754,145017,145144,145240,145515,145621,145908,150048,150142,150303,150432,150822,151011,151320,151415,151531,151626,151721,151839,151900,151911,152005,152027,152212,152256
46,MZ3825-3,141521,141721,142038,142227,142511,143226,143552,143858,144058,144417,144532,145229,145346,145526,145728,145857,150004,150314,150421,150621,150822,150905,151032,151149,151520,151731,152038,152201,152307,152350,152602,152634,152718,152751,152836,152910,153037,153134
47,MW5898-2,142049,142605,143005,143154,143353,144036,144354,144711,145006,145420,145728,150303,150421,150621,151032,151149,151310,151604,151710,151922,152121,152212,152329,152508,152825,152943,153220,153314,153410,153443,153600,153654,153716,153738,153810,153843,153948,154054
48,MP6358-0,142849,143038,143248,143531,143803,144438,144754,145049,145252,145643,145942,150516,150610,150749,151149,151310,151404,151626,151731,151933,152121,152212,152329,152529,152921,153101,153336,153443,153600,153643,153749,153832,153905,153926,153959,154021,154137,154236
49,MZ3956-3,143110,143836,144203,144438,144638,145229,145431,145834,150220,150643,150811,151353,151509,151636,152143,152245,152350,152613,152751,153112,153231,153336,153443,153611,153937,154126,154330,154457,154635,154718,154835,154909,154930,154952,155047,155108,155230,155325
50,MZ3978-3,145240,145452,145706,145920,150158,150632,150905,151215,151448,151944,152245,152825,153016,153347,153632,153738,153916,154236,154352,154751,154920,154952,155130,155241,155716,155844,160137,160316,160434,160530,160708,160741,160813,160858,160930,160952,161108,161214
51,MZ3987-3,150241,150526,150822,151022,151426,152005,152212,152518,,153016,153314,153810,154021,154148,154341,154457,154624,154952,155108,155241,155452,155536,155705,155811,160137,160316,160445,160552,160708,160751,160920,160952,161025,161036,161119,161141,161247,161320
52,MW3417-1,150610,152340,152624,152751,152943,,153727,154457,154740,155141,155230,155800,155905,160033,160305,160423,160530,160741,160846,161058,161203,161247,161352,161530,161846,162004,162204,162310,162427,162511,162631,162726,162759,162821,162854,162916,163033,163127
53,MP6054-0,,151054,151342,151626,151850,152318,152613,153005,153314,153622,153738,154225,154308,154519,154718,154824,154930,155208,155303,155430,155643,155716,155905,160022,160327,160434,160646,160751,160909,160930,161047,161141,161214,161225,161258,161331,161457,161551
