,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7706-0,,,,,,,,,,,,,070107,070146,070233,070328,070446,070540,070656,070813,071056,071202
1,MW4705-0,,,,,,,,070107,070518,070602,070824,070951,071056,071247,071352,071457,071602,071718,071823,071928,072235,072403
2,AA7530-0,,,,,,,,070107,070507,070602,070802,070929,071002,071107,071150,071236,071424,071457,071613,071729,071950,072108
3,AA6952-0,,,,,070107,,070212,070317,071330,071435,071646,071834,071939,072140,072235,072351,072529,072635,072803,072846,073140,073258
4,AA7149-0,,070107,071139,071435,071729,071950,072202,072330,073330,073447,073708,073835,074058,074236,074330,074446,074603,074708,074824,074951,075236,075353
5,AA7488-0,070107,070132,070317,070750,070940,071056,071214,071330,072403,072457,,072835,072941,073203,073236,073352,073530,073625,073741,073952,074225,074330
6,MR7964-0,,,,,070146,070317,070529,070656,071551,071635,071834,071950,072057,072213,072257,072403,072540,072645,072803,072846,073140,073308
7,AA7248-0,071150,073942,074225,074541,074857,,075247,075436,080331,080438,080659,080849,,081100,081228,081333,081522,081617,081734,081945,082240,082356
8,AA7214-0,071907,072002,072213,072424,072740,072952,,,074330,074425,074613,074740,074846,075002,075057,075202,075247,075353,075458,075604,075836,080047
9,AA7101-0,,,,,072613,072803,073024,073140,074120,074225,074436,074552,074708,074835,074918,075035,075247,075353,075458,075553,075836,080036
10,AA7195-0,072857,,073140,073457,073824,073952,074153,074258,075151,075247,075447,075636,075731,075931,080036,080141,080309,080416,080521,080553,080900,081028
11,MW3346-0,,,,,,,,073952,075013,075057,075258,075425,075531,075731,075836,075931,080014,080108,080214,080342,080615,080731
12,AA7536-0,,,075035,075236,075458,075658,075825,080108,081206,081312,,081649,081756,082008,082113,082218,082356,082511,082556,082756,083123,083218
13,AA7522-0,075247,075604,075836,080214,080521,080849,081100,081322,082334,082501,082734,082902,083018,083134,083250,083407,083618,083734,083851,083957,084313,084451
14,AA7530-1,,080416,080626,081006,081239,081500,081734,082030,082956,083112,083323,083451,083607,083734,083840,083946,084124,084230,084335,084545,084828,084911
15,AA7322-0,080922,081355,081700,082008,082229,,082734,083029,084019,084114,,084524,084618,084806,084911,085111,085206,085301,085406,085544,085807,085933
16,AA7706-1,081807,082218,082511,082945,083134,083302,083545,083712,084901,085017,,085500,085607,085745,085850,090006,090206,090311,090417,090545,090829,091018
17,MW4705-1,082851,083112,083313,083757,084029,084135,084357,084640,085607,085650,085912,090100,090144,090311,090417,090545,090723,090851,090956,091144,091525,091652
18,AA6952-1,,084102,084629,085017,085301,085639,085818,085955,091039,091144,091525,091620,091714,091936,092043,092210,092328,092446,092552,092751,093046,093257
19,AA7488-1,084933,085133,085428,085756,085944,090122,090332,090607,091558,091652,091936,092401,092508,092718,092814,092930,093151,093257,093351,093529,093939,094138
20,AA7149-1,090039,,090512,090807,091039,091314,091514,091747,092836,092941,093202,093329,093413,093635,093729,093845,094001,094117,094234,094446,094657,094813
21,AA7101-1,,091442,091820,092159,092541,092751,093108,093224,094435,094519,094740,094929,095002,095151,095258,095403,095603,095708,095813,095951,100212,100413
22,AA7214-1,092530,092614,092919,093246,093624,093845,094245,094414,095403,095508,095751,095907,095951,100119,100212,100307,100402,100508,100625,100719,100941,101047
