,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4604-0,,,,,,,,,,,,,,,,,,,,,,,,,100201,100232,100304
1,MX3651-0,,,,,,,,,,100201,100357,100917,101021,101156,101344,,101541,101655,101738,101913,102027,102340,102456,102652,102808,102932,103004
2,MX4159-0,100201,100232,100440,100544,100615,100845,101021,101114,101310,101416,101634,102205,102308,102402,102538,102620,102735,102829,102901,103025,103129,103502,103555,103813,103949,104042,104135
3,MX4458-0,102308,105202,105513,105556,105639,105846,110011,110114,110300,110405,110552,111110,111203,111327,111452,111617,111741,111834,111927,112041,112228,112559,112735,112922,113046,113213,113255
4,MX4365-0,,102642,103015,103036,103202,103420,103534,103720,103834,103938,104310,104819,104933,105047,105202,105255,105441,105606,105649,105732,105835,110135,110333,110520,110624,110738,110810
5,MX4604-1,111420,111648,111959,112041,112217,112456,112703,112756,112953,113107,113451,114020,114123,114238,114352,114445,114620,114816,114909,114941,115106,115417,115624,115831,115934,120027,120120
6,MX4159-1,112610,123344,123634,123759,123841,124131,124213,124359,124513,124709,124927,125447,125551,125717,125810,125852,130038,130131,130204,130328,130443,130754,130940,131210,131324,131427,131510
7,MX4535-0,114102,114238,114445,114609,114641,114941,115159,115302,115448,115602,115945,120452,120555,120741,120845,121010,121124,121240,121323,121458,121634,122008,122225,122525,122639,122732,122825
8,MX3651-1,120234,120731,121031,121103,121229,121509,121656,121738,121935,122029,122225,122743,122836,122950,123125,123219,123354,123508,123540,123613,123727,124048,124203,124359,124502,124616,124648
9,MX4365-1,,125655,130017,130109,130141,130400,130558,130712,130836,131012,131356,131852,131956,132132,132257,132400,132536,132711,132805,132940,133105,133438,133603,133759,133903,134018,134110
10,MX4604-2,131541,,132411,132504,132536,132805,133012,133116,133252,133438,133656,134235,134339,134525,134628,134753,134918,135021,135104,135157,135301,135634,135738,135955,140132,140236,140328
11,MX4535-1,134411,134650,135000,135104,135146,135416,135603,135655,135841,140006,140350,140940,141053,141300,141437,141551,141831,141956,142049,142153,142256,142607,142742,142938,143124,143228,143323
12,MX3651-2,140204,,140836,140950,141032,141311,141416,141458,141634,141810,142007,142535,142649,142753,142856,142938,143103,143239,143334,143458,143624,144006,144141,144328,144431,144535,144607
13,MX4159-2,140525,142503,142803,142917,143000,143228,143405,143509,143656,143842,144256,144846,145000,145104,145230,145323,145520,145656,145749,145914,150029,150402,150538,150702,150817,150941,151024
14,MX4365-2,,144545,144907,145000,145042,145312,145427,145520,145727,145924,150329,150952,151055,151220,151355,151459,151634,151738,151831,151945,152059,152359,152535,152731,152834,152927,153020
15,MX4458-1,150351,150641,151045,151220,151302,151541,151634,151717,151852,152017,152245,152741,152845,152959,153134,153238,153434,153610,153703,153828,153953,154326,154533,154750,154857,155022,155114
16,MX4604-3,152316,152659,152917,153020,153155,153424,153559,153653,153900,154107,154533,155125,155257,155400,155546,155650,155847,160024,160106,160242,160418,160657,160855,161156,161249,161403,161434
17,MX4535-2,154212,154450,154836,154929,155011,155225,155400,155514,155640,155815,160024,160626,160729,160906,161031,161134,161259,161517,161621,161736,161932,162234,162359,162545,162648,162803,162845
18,MX4041-0,154907,160554,160855,160948,161145,161434,161621,161757,161953,162118,162534,163103,163207,163310,163445,163549,163735,163932,164025,164149,164303,164614,164800,165019,165122,165239,165332
19,MX3651-3,162150,162659,163031,163124,163207,163424,163610,163714,163828,164004,164210,164718,164822,164926,165040,165155,165342,165435,165518,165645,165759,170120,170317,170432,170650,170742,170836
20,MX4365-3,,164553,164800,164937,165029,165425,165602,165706,165841,170109,170317,170908,171011,171146,171355,171449,171635,171842,171935,172100,172236,172641,172756,173013,173117,173232,173325
21,MX4458-2,,170556,170918,170939,171011,171449,171552,171738,171935,172204,172423,173117,173243,173429,173626,173751,173948,174113,174206,174321,174456,174808,174943,175150,175306,175420,175452
22,MX4604-4,172413,172745,173106,173149,173221,173429,173511,173658,173905,174103,174321,175015,175140,175348,175513,175606,175731,175949,180042,180207,180342,180735,180942,181149,181314,181407,181510
23,MX4535-3,174652,,175015,175129,175224,175648,175752,175928,180145,180403,180621,181231,181335,181449,181625,181718,181906,182043,182135,182242,182417,182832,182946,183204,183308,183422,183526
24,MX4041-1,,180942,181252,181345,181417,181625,181718,181906,182104,182303,182717,183308,183433,183629,183733,183837,184127,184252,184345,184501,184646,185020,185155,185425,185611,185725,185818
25,MX3651-4,183433,183619,183858,183930,184013,184429,184522,184646,184845,185020,185228,185736,185839,190037,190130,190212,190348,190502,190555,190730,190836,191115,191241,191459,191613,191727,191823
26,MX4365-4,,190130,190533,190605,190741,191033,191136,191334,191520,191739,192000,192645,192809,192934,193109,193202,193348,193513,193606,193720,193845,194156,194413,194610,194715,194829,194922
27,MX4604-5,192520,192727,193059,193131,193255,193513,193616,193709,193834,194031,194248,194757,194850,194953,195118,195232,195543,195720,195813,195948,200053,200334,200509,200716,200820,200935,201027
28,MX4458-3,194725,195118,195512,195554,195616,195834,195906,200011,200218,200334,200530,201017,201120,201213,201348,201431,201557,201753,201836,202011,202135,202436,202600,202756,202910,203025,203128
29,MX4041-2,,203946,204225,204246,204329,204525,204722,204815,204950,205104,205301,205842,205945,210120,210224,210317,210453,210628,210732,210857,211011,211405,211613,211842,211956,212110,212142
30,MX4458-4,,213520,213716,213831,213913,214109,214245,214338,214513,214648,214834,215332,215435,215518,215632,215714,215849,220035,220117,220303,220407,220738,220946,221154,221319,221515,221557
