,Bus,C686,C656,C654,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4458-0,,,,,,,,,,,,,,,100201,100430,100605,100928,101217,101405,101613,101955,102120,102247
1,MX4604-0,100408,100440,100533,100637,100835,100949,101249,101355,101613,101738,101903,101945,102205,102340,102435,102933,103108,103420,103720,103917,104217,104654,104830,105005
2,MX3651-0,103638,103741,103845,104010,104145,104333,104654,104901,105005,105129,105234,105317,105452,105606,105721,110157,110311,110520,110749,110946,111153,111535,111649,111814
3,MX4159-0,104238,104736,104830,104954,105047,105234,105545,105649,105856,110011,110115,110146,110344,110427,110510,110956,111110,111339,111556,111721,111857,112314,112357,112521
4,MX4365-0,110852,111432,111525,111628,111825,111950,112242,112439,112707,112833,112947,113040,113155,113309,113351,113816,113930,114220,114439,114603,114822,115205,115308,115412
5,MX4458-1,,114728,114822,114936,115122,115350,115712,115816,120045,120159,120334,120428,120614,120800,120843,121308,121514,121743,122220,122303,122625,123008,123143,123401
6,MX4604-1,120800,121121,121225,121318,121525,121722,122045,122241,122500,122635,122800,122854,123040,123205,123247,123712,123826,124221,124532,124718,125030,125401,125537,125702
7,MX4535-0,122915,123701,123815,123930,124211,124335,124739,124844,125101,125226,125340,125454,125619,125744,125837,130242,130406,130727,131038,131131,131442,131752,131918,132022
8,MX3651-1,124728,130055,130220,130324,130459,130613,130945,131110,131328,131442,131556,131649,131846,131929,132022,132448,132623,132956,133235,133349,133546,133918,134024,134127
9,MX4159-1,131617,132114,132207,132344,132520,132727,133028,133131,133411,133535,133628,133732,133918,134024,134117,134552,134727,135038,135255,135348,135627,140145,140310,140456
10,MX4365-1,134252,134459,134603,134717,134945,135131,135441,135555,135824,140010,140134,140249,140414,140538,140642,141057,141221,141522,141834,141948,142249,142738,142913,143027
11,MX4604-2,140456,140549,140652,140756,141014,141128,141440,141636,,,142405,142427,142551,142759,142852,143319,143505,143806,144231,144346,144637,145032,145230,145520
12,MX4535-1,144252,144325,144440,144554,144730,144918,145230,145344,145602,145727,145842,145945,150215,150308,150413,150829,151014,151317,151640,151743,152116,152448,152602,152737
13,MX3651-2,144708,145842,145945,150101,150236,150402,150745,150850,151107,151223,151338,151432,151650,151743,151847,152355,152530,152810,153050,153205,153526,153951,154117,154304
14,MX4159-2,151118,151701,151837,151951,152241,152416,152727,152915,153143,153308,153433,153558,153804,153858,153951,154407,154543,154906,155427,155541,155738,160133,160311,160529
15,MX4365-2,153133,153526,153629,153733,154002,154150,154511,154614,154824,154938,155041,155156,155344,155448,155541,160009,160123,160343,160654,160925,161142,161503,161608,161722
16,MX4458-2,155207,155530,155634,155716,155924,160030,160415,160633,160903,161028,161132,161235,161442,161535,161629,162055,162221,162449,162831,162945,163256,163815,163930,164148
17,MX4604-3,161815,161930,162045,162148,162335,162438,162759,162903,163131,163317,163432,163546,163826,164034,164138,164635,164842,165152,165442,165545,165908,170430,170605,170731
18,MX4535-2,,163525,163618,163744,163940,164138,164449,164552,164831,164956,165110,165235,165420,165545,165638,170106,170244,170637,170959,171145,171334,171656,171821,172007
19,MX4041-0,,165836,165950,170034,170212,170441,170752,170959,171239,171355,171510,171603,171800,171935,172049,172527,172828,173203,173628,173814,174106,174437,174613,174809
20,MX3651-3,170927,171552,171717,171831,172038,172153,172559,172703,172910,173056,173213,173317,173513,173639,173732,174138,174355,174655,175027,175224,175534,175835,180010,180145
21,MX4365-3,173452,173545,173700,173836,174116,174313,174655,174913,175141,175327,175441,175556,175742,175906,180020,180538,180735,181003,181449,181657,182114,182625,182811,183007
22,MX4458-3,175606,175742,175835,180031,180249,180456,180838,181138,181407,181603,181718,181845,182043,182231,182345,182800,182946,183257,183733,183826,184117,184500,184625,184812
23,MX4604-4,181824,181948,182104,182159,182356,182604,182842,183018,183236,183411,183526,183629,183805,183941,184045,184532,184729,184948,185321,185518,185704,190047,190223,190358
24,MX4535-3,,184242,184356,184553,184800,184927,185239,185436,185850,190016,190140,190305,190441,190627,190730,191229,191404,191656,192114,192311,192655,193245,193420,193606
25,MX4041-1,,190419,190523,190627,190847,191032,191322,191457,191750,191918,192043,192146,192323,192459,192602,193027,193202,193555,193834,194020,194145,194517,194631,194808
26,MX3651-4,191918,192437,192531,192623,192748,192851,193151,193338,193616,193802,193938,194031,194217,194320,194403,194808,194943,195232,195554,195741,195845,200134,200227,200403
27,MX4365-4,195046,195139,195232,195347,195554,195741,200052,200155,200424,200631,200745,200902,201119,201306,201420,201849,202056,202324,202717,202914,203142,203514,203629,203815
28,MX4458-4,203204,203307,203400,203504,203712,203827,204106,204242,204521,204707,204824,204927,205041,205155,205250,205704,205828,210036,210337,210533,210637,211021,211135,211312
29,MX4041-2,212453,212524,212617,212710,212950,213053,213323,213459,213738,213924,214120,214224,214420,214534,214813,215228,215435,215756,220056,220242,220510,220852,221017,221204
30,MX4458-5,221640,222447,222540,,,,,,,,,,,,,,,,,,,,,
