,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MS1903-0,,,,,,,,100201,100326,100408,100522,100616,100708,101021,101344,101509,101614,101811,101854,102019,102051,102237,102445,102714,102745,102922,103245,103348,103420,103545,103638,103752,103917,103938,104010,104135,104508,104601,104830,104933,105047,105130
1,MS1953-0,,103720,103845,104021,104217,104519,104622,104726,105016,105109,105255,105359,105431,105814,110229,110405,110449,110645,110749,110945,111028,111214,111411,111700,111804,111857,111950,112055,112149,112253,112346,112450,112605,112636,112708,112825,113146,113344,113625,113739,113854,113926
2,MS2243-0,,112221,112346,112533,112740,113125,113218,113333,113509,113602,113657,113800,113905,114206,114538,114703,114746,114921,114953,115149,115242,115429,115625,115844,115915,120008,120112,120216,120258,120403,120517,120610,120713,120745,120807,120933,121234,121349,121556,121701,121754,121826
3,MX1537-0,,120445,120713,120933,121048,121420,121534,121639,121732,121826,122013,122106,122149,122500,122843,123019,123101,123226,123329,123505,123547,123733,123951,124200,124304,124346,124542,124646,124728,124915,125101,125154,125330,125423,125558,125702,130013,130221,130501,130605,130730,130803
4,MS1903-1,,124025,124200,124357,124707,125101,125205,125258,125516,125547,125744,125837,130013,130347,130730,130856,130949,131113,131156,131342,131435,131620,131756,132035,132127,132220,132313,132417,132459,132706,132810,132903,133100,133131,133204,133318,133619,133733,134003,134106,134200,134242
5,MS1953-1,,131859,132045,132303,132417,132738,132903,133007,133131,133214,133339,133421,133608,133940,134357,134543,134625,134750,134835,135021,135114,135311,135530,135749,135831,135924,140039,140132,140225,140350,140432,140515,140629,140711,140847,141012,141355,141519,141759,141903,142017,142049
6,MS2243-1,,140028,140142,140257,140515,140804,140836,140950,141147,141230,141333,141427,141530,141821,142214,142339,142421,142557,142700,142909,142941,143126,143325,143543,143636,143729,143844,143958,144040,144155,144258,144351,144538,144610,144652,144756,145045,145148,145427,145542,145645,145717
7,MW3204-0,,143023,143304,143450,143718,144040,144227,144330,144527,144620,144806,144859,145045,145520,145914,150101,150143,150340,150434,150620,150713,150953,151151,151420,151524,151617,151710,151846,151918,152136,152229,152311,152458,152551,152706,152833,153154,153412,153650,153805,153929,154013
8,MX1537-1,145449,150434,150620,150829,150932,151234,151420,151545,151721,151824,152043,152157,152323,152655,153029,153215,153257,153433,153547,153733,153815,154024,154304,154511,154553,154636,154834,154948,155102,155300,155405,155509,155634,155717,155852,160019,160406,160531,160749,160852,161007,161049
9,MS1903-2,,,153951,154055,154211,154511,154646,154802,154917,155009,155239,155334,155509,155852,160301,160459,160542,160728,160810,160956,161059,161256,161503,161712,161815,161858,162024,162138,162242,162428,162521,162614,162707,162728,162843,163008,163320,163516,163806,163920,164013,164106
10,MS1953-2,154232,160520,160759,160956,161214,161432,161535,161640,161837,161930,162127,162221,162449,162822,163216,163402,163434,163631,163713,163909,164003,164210,164406,164624,164717,164810,164913,165028,165059,165204,165307,165349,165442,165525,165649,165804,170117,170316,170544,170658,170813,170855
11,MS2243-2,,164613,164810,165017,165318,165628,165836,165940,,170305,170430,170555,170802,171145,171521,171656,171749,171924,172007,172204,172246,172506,172713,172921,173004,173046,173139,173245,173338,173514,173607,173711,173908,174002,174138,174302,174624,174811,,175133,175226,175319
12,MW3204-1,,171914,172038,172225,172339,172631,172850,173014,173152,173234,173431,,,174220,174438,174645,174717,174905,174958,175154,175248,175505,175744,180002,180045,180106,180313,180427,180510,180624,180728,180800,180914,181007,181132,181256,181628,181825,182013,182127,182243,182337
13,MX1537-2,,181432,181628,181825,182106,182419,182501,182605,182730,182813,183052,183145,183228,183559,184003,184128,184221,184335,184439,184625,184657,184855,185123,185300,185343,185425,185518,185622,185704,185840,185954,190058,190130,190212,190348,190451,190752,190918,191159,191335,191449,191531
14,MS1903-3,,185052,185217,185404,185539,185850,185943,190047,190140,190233,190348,190430,190555,190929,191324,191449,191531,191728,191834,192021,192114,192323,192520,192738,192831,192924,193027,193153,193246,193442,193535,193628,193700,193721,193814,193928,194300,194426,194612,194715,194829,194933
15,MS2243-3,,194622,194819,194943,195057,195349,195431,195524,195659,195742,195845,195917,200104,200437,200816,200931,201035,201252,201324,201459,201531,201722,201941,202138,202221,202314,202428,202542,202624,202832,202914,202946,203121,203204,203318,203444,203744,203941,204117,204324,204440,204522
16,MW3204-2,201417,202045,202439,202614,202717,203007,203225,203340,203516,203608,203805,203909,204106,204501,204928,205052,205135,205300,205353,205550,205632,205850,210057,210315,210358,210451,210554,210730,210813,211010,211114,211208,211405,211437,211624,211738,212131,212339,212557,212700,212825,212857
17,MX1537-3,204928,205218,205414,205600,205736,210036,210222,210337,210544,210637,210813,210856,211042,211405,211810,211924,212006,212131,212214,212350,212432,212628,212804,213011,213115,213208,213302,213416,213520,213634,213716,213820,213956,214100,214224,214400,214710,214908,215104,215208,215324,215355
18,MS2243-4,215438,215624,215820,215945,220154,220434,220527,220620,220724,220806,220931,221013,221107,221409,221845,222020,222052,222207,222310,222426,222508,222643,,,,,,,,,,,,,,,,,,,,
