,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MS2243-0,,,,,,,,,,,,,,,,,,,,,,,100200,100451,100719,100938,101042,101146,101334,101416,101541,101645,101810,102027,102153,102308
1,MX1537-0,,101427,101530,101613,101831,101945,102308,102402,102456,102714,102818,102911,103420,103638,103813,103928,104031,104136,104301,104405,104519,104612,104737,105255,105534,105732,110000,110043,110125,110218,110344,110531,110656,110914,111038,111224
2,MS1903-0,,,110333,110417,110541,110727,111007,111100,111317,111421,111514,111557,112117,112346,112543,112647,112751,112846,113022,113115,113218,113333,113448,113915,114206,114413,114506,114630,114745,114859,115013,115116,115241,115438,115602,115727
3,MS1953-0,114008,115945,120038,120141,120338,120545,120906,121021,121114,121344,121437,121540,122039,122246,122506,122609,122745,122838,123013,123106,123210,123313,123439,124009,124309,124538,124702,124848,124931,125034,125138,125253,125418,125647,125823,125947
4,MS2243-1,121913,124216,124320,124413,124652,124838,125211,125336,125418,125511,125615,125719,130205,130403,130610,130713,130838,130941,131149,131242,131428,131542,131656,132132,132411,132629,132753,132919,133105,133210,133324,133427,133531,133749,133914,134039
5,MX1537-1,132951,133147,133241,133334,133520,133613,133852,134028,134100,134153,134246,134349,134846,135935,140132,140235,140400,140504,140629,140743,140836,140940,141054,141551,141903,142131,142256,142453,142535,142628,142753,142907,143042,143207,143323,143448
6,MS1903-1,135458,140018,140121,140235,140421,140525,140940,141104,141230,141458,141634,141738,142214,142421,142617,142803,142917,143021,143157,143300,143355,143458,143613,144109,144400,144525,144700,144846,145000,145125,145240,145355,145520,145738,145914,150039
7,MS1953-1,142110,143716,143820,143923,144141,144256,144639,144742,144950,145104,145209,145240,145831,150101,150308,150423,150559,150703,150839,151004,151118,151306,151420,152000,152250,152530,152634,152809,153016,153202,153327,153452,153556,153824,154010,154146
8,MS2243-2,145749,152301,152405,152509,152644,152758,153141,153255,153441,153721,153835,153917,154542,154811,155040,155205,155330,155505,155702,155806,155941,160116,160314,160844,161206,161445,161621,161736,161850,162025,162202,162348,162523,162752,162927,163206
9,MW3204-0,155101,155205,155330,155434,155620,155723,160138,160314,160440,160708,160834,160927,161445,161653,161850,161943,162107,162223,162409,162513,162638,162731,162906,163403,163652,163828,163942,164106,164221,164313,164417,164542,164738,164945,165110,165245
10,MX1537-2,161113,162648,162803,162938,163113,163227,163621,163735,163838,164045,164210,164303,164738,164956,165213,165338,165503,165638,165826,170013,170106,170212,170348,170906,171145,171355,171542,171717,171831,171946,172121,172225,172402,172631,172807,172931
11,MS1903-2,165545,165638,165721,165826,170056,170212,170534,170648,170813,171031,171145,171239,171717,171956,172215,172329,172445,172549,172735,172828,172942,173056,173234,173742,174023,174303,174427,174645,174822,174915,175040,175205,175402,175630,175816,175941
12,MS1953-2,172039,,172455,172549,172807,172931,173234,173359,173556,173700,173742,173836,174252,174448,174706,174822,174926,175040,175205,175330,175444,175548,175702,180210,180500,180707,180946,181132,181235,181400,181503,181618,181814,182011,182136,182242
13,MS2243-3,180231,180500,180614,180717,180946,181049,181432,181535,181711,181939,182053,182149,182646,182914,183121,183247,183411,183515,183651,183744,183848,183951,184127,184625,184916,185155,185300,185425,185457,185550,185717,185842,190007,190246,190432,190525
14,MW3204-1,183422,183526,183651,183805,184045,184200,184500,184615,184708,184937,185052,185155,185738,190007,190225,190350,190504,190618,190753,190908,191022,191126,191252,191801,192104,192301,192406,192541,192645,192738,192913,193027,193141,193306,193431,193524
15,MX1537-3,191603,191929,192022,192157,192416,192509,192831,192945,193141,193255,193410,193513,193917,194134,194320,194445,194620,194736,194911,195025,195150,195255,195420,195959,200250,200416,200530,200645,200750,200846,201010,201125,201230,201324,201438,201535
16,MS1903-3,,,195710,195813,195927,200125,200406,200520,200716,200938,201135,201209,201647,201858,202056,202210,202335,202449,202624,202728,202842,202935,203100,203536,203848,204127,204242,204346,204522,204614,204707,204802,204916,205041,205155,205320
17,MS2243-4,205009,205155,205248,205402,205559,205652,210013,210055,210315,210544,210647,210740,211240,211426,211613,211706,211810,211924,212027,212120,212235,212307,212421,212929,213219,213438,213602,213738,213903,213945,214059,214131,214246,214452,214556,214700
18,MW3204-2,213520,213531,213634,213738,213945,214038,214431,214545,214803,215043,215218,215324,215809,220018,220225,220350,220506,220609,220745,220827,220941,221035,221139,221658,222021,222156,222331,222436,222550,,,,,,,
19,MX1537-4,215427,222031,222145,222238,222436,222519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
