,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
0,MZ3978-0,,,,,,,,,,,,,,,,,,,,,,,,,,,100200,,100232,100304,100408,100440,100501,100522,100615,100647,100751,100835
1,MW5943-0,123956,124452,124731,124855,124959,125323,125613,125717,125956,,130422,131012,,131240,131438,131552,100200,132029,100326,,,,,132859,101114,,133759,,134039,134142,134225,134307,134328,134349,134432,134504,134607,134628
2,MZ4228-0,,,,,,,100200,100304,100430,100647,100813,101311,101416,101520,101656,101759,101844,102101,102205,102330,102424,102456,102642,102818,103129,103327,103555,103720,103835,103906,104021,104103,104135,104157,104250,104311,104436,104519
3,MW5853-0,100658,100845,101042,101249,101355,101634,101759,101926,102101,102330,102445,102954,103108,103213,103327,103452,103555,103741,103845,104010,104103,104146,104228,104333,104643,104840,105037,105129,105234,105306,105409,105441,105513,105534,105617,105649,105814,105835
4,MW5964-0,101759,102215,102445,102610,102724,103047,103202,103255,103348,103606,103720,104228,104322,104415,104551,104705,104830,105015,105119,105245,105409,105452,105534,105639,110000,110125,110405,110459,110603,110656,110759,110852,110945,110956,111049,111110,111224,111256
5,MX1105-0,,103949,104207,104426,104622,104922,105037,105140,105327,105617,105753,110333,110438,110541,110738,110821,110945,111235,111400,111525,111639,111742,111857,112024,112325,112450,112719,112825,113001,113104,113229,113300,113333,113405,113458,113530,113657,113801
6,MZ3556-0,105441,105835,110115,110250,110552,110852,111017,111121,111235,111504,111628,112106,112159,112303,112408,112512,112605,112825,112929,113043,113136,113207,113239,113355,113646,113843,114040,114133,114237,114309,114423,114455,114537,114559,114630,114702,114816,114859
7,MZ3559-0,,112210,112336,112543,112740,113136,113311,113426,113614,113801,113915,114506,114609,114713,114848,115002,115105,115406,115510,115645,115749,115820,115956,120120,120431,120721,120938,121042,121158,121230,121344,121416,121509,121530,121624,121655,121759,121831
8,MZ3987-0,114123,114320,114516,114702,114920,115231,115427,115552,115717,120027,120152,120710,120814,120917,121103,121219,121333,121530,121655,121810,122006,122059,122224,122410,122710,122857,123125,123230,123333,123405,123530,123634,123706,123759,123841,123913,124017,124120
9,MZ4072-0,120049,120442,120721,120928,121052,121426,121634,121738,121934,122120,122234,122742,122857,123001,123157,123312,123405,123602,123655,123831,124027,124120,124203,124317,124648,124834,125010,125103,125218,125300,125405,125447,125530,125613,125655,125717,125820,125913
10,MZ3978-1,122607,122721,122950,123115,123230,123602,123820,123934,124141,124410,124524,125020,125145,125300,125426,125540,125655,125903,125956,130132,130257,130339,130515,130629,130929,131115,131312,131417,131542,131624,131800,131832,131924,131935,132029,132100,132214,132246
11,MZ3556-1,130847,131033,131219,131438,131717,132100,132236,132350,132559,132745,133044,133603,133634,133749,133903,134007,134121,134349,134453,134618,134743,134825,134907,135021,135311,135458,135727,135820,135913,135945,140050,140143,140225,140307,140400,140421,140536,140629
12,MW5964-1,133034,133231,133417,133613,133717,133945,134142,134318,134535,,,135634,135738,135913,140100,140214,140318,140629,140753,140940,141033,141115,141230,141334,141636,141750,142032,142135,142250,142344,142509,142551,142623,142655,142727,142748,142903,143006
13,MZ3559-1,,135157,135355,135530,135831,140225,140453,140557,140815,141054,141405,141927,142053,142207,142406,142520,142634,142903,143006,143120,143247,143330,143505,143630,144013,144159,144336,144430,144554,144616,144740,144825,144846,144929,145000,145011,145125,145146
14,MZ3987-1,141241,141323,141509,141657,141811,142146,142239,142416,142551,142924,143247,143848,144003,144138,144303,144408,144523,144740,144939,145053,145302,145355,145530,145645,145945,150143,150329,150445,150610,150703,150818,150911,151004,151046,151139,151223,151359,151453
15,MZ4228-1,143423,143505,143859,144045,144159,144554,144740,144857,145032,145355,145541,150111,150215,150351,150516,150641,150736,151025,151139,151245,151349,151431,151556,151742,152032,152250,152458,152602,152716,152759,152926,153008,153029,153050,153122,153143,153247,153350
16,MX1105-1,145924,150215,150423,150620,150736,151025,151234,151349,151546,151918,152239,152822,152947,153101,153247,153412,153526,153805,153919,154117,154335,154418,154553,154718,155124,155300,155530,155645,155821,155852,160009,160051,160123,160144,160207,160300,160425,160529
17,MZ3978-2,152716,153215,153412,153650,153940,154243,154450,154625,154917,155239,155405,160019,160144,160300,160457,160612,160715,160955,161120,161317,161525,161619,161743,161941,162324,162521,162800,162924,163017,163110,163235,163317,163400,163432,163525,163607,163712,163826
18,MW5943-1,160300,160809,161017,161306,161629,,162221,162335,162542,162903,,,,164003,164220,164252,164406,164645,,,165123,165300,,,165757,165922,170150,170348,,,170502,,,,,,171218,171250
19,MW5964-2,162542,162810,163017,163235,163349,163733,164003,164117,164334,164531,164905,165518,165622,165736,165911,170025,170139,170348,170502,170637,170741,170823,170855,171010,171334,171510,171738,171903,172028,172110,172236,172329,172402,172423,172455,172549,172713,172745
20,MZ3556-2,163339,172307,172455,172652,172942,173232,173500,173615,173834,174145,174321,174829,174954,175108,175255,175420,175524,175720,175845,180031,180145,180227,180352,180506,180838,181003,181200,181324,181449,181521,181646,181729,181750,181835,181906,181949,182114,182210
21,MZ3559-2,164220,165029,165332,165529,165736,170150,170305,170430,170709,171041,171157,171717,171842,172110,172225,172318,172434,172713,172817,173013,173150,173232,173408,173532,173844,174042,174217,174321,174414,174445,174610,174703,174724,174746,174819,174912,175036,175140
22,MZ3987-2,172745,174610,174943,175119,175524,175938,180217,180320,180631,180942,181242,181750,181906,182021,182210,182324,182428,182624,182739,182925,183132,183215,183350,183515,183837,184045,184221,184324,184439,184522,184625,184708,184740,184801,184823,184855,185020,185124
23,MZ4228-2,181531,181625,181835,182021,182324,182624,182717,182853,183007,183247,183558,184149,184303,184429,184625,184750,184927,185218,185332,185508,185746,185839,190005,190140,190605,190803,190940,191054,191231,191335,191459,191552,191624,191656,191739,191834,192011,192114
24,MX1105-2,184045,184210,184450,184718,184927,185300,185425,185539,185736,190140,190305,190908,191022,191115,191313,191438,191552,191918,192032,192146,192355,192459,192613,192759,193152,193359,193555,193720,193835,193927,194031,194134,194156,194227,194259,194320,194434,194527
25,MZ3978-3,185943,190130,190348,190533,190637,191022,191115,191241,191459,191823,192000,192541,192706,192831,193016,193131,193255,193524,193627,193813,193927,194010,194113,194249,194610,194746,195015,195118,195213,195306,195420,195524,195545,195617,195659,195720,195824,195917
26,MW5943-2,,192032,192229,192427,192531,192841,192945,193048,193203,,,194227,,194424,,194641,194746,194943,195036,,,195452,195556,195720,200022,200250,200509,200634,200802,200848,201034,201127,201209,201230,201334,201406,201604,201733
