,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ3556-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100200,100336,100658
1,MW5964-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100200,100336,100615,100802,101010,101114,101207,101634
2,MZ3559-0,,,,,,,,,,,,,,,,,,,,,,,100200,100315,100440,100533,100938,101207,101300,101448,101603,101822,102019,102237,102402,102610,102850
3,MZ3987-0,,,,,,,,,,,,,,100200,100419,100615,100835,100938,101103,101323,101416,101509,101613,101800,101915,101937,102402,102652,102829,103202,103317,103627,103835,104031,104208,,104912
4,MZ4072-0,100200,101052,101239,101323,101405,101459,101520,101551,101624,101738,101833,101926,102123,102226,102517,102642,102911,102954,103140,103348,103441,103534,103638,103752,103856,103917,104354,104705,104819,105058,105151,105420,105606,105803,105846,105928,110311
5,MZ3978-0,102943,103047,103213,103256,103317,103420,103441,103524,103545,103659,103741,103845,104136,104333,104540,104716,104944,105047,105223,105452,105556,105639,105814,105928,110053,110135,110624,110956,111110,111442,111546,111700,111918,112117,112220,112253,112522
6,MW5943-0,,105058,105255,105338,105359,,105534,,105700,,105907,110011,110157,110355,110645,110759,111006,111059,,111639,111700,111753,112002,,112231,112346,112836,113053,113250,113623,113902,114038,114256,114535,114649,114907,115239
7,MZ4228-0,105140,111059,111235,111328,111349,111432,111453,111607,111649,111804,111918,112013,112159,112325,112626,112814,113053,113146,113250,113551,113634,113727,113841,113956,114120,114214,114628,114917,115114,115458,115623,115727,115852,120224,120359,120452,120927
8,MW5853-0,,,112729,112825,112846,112939,113022,113125,113157,113333,113416,113519,113706,113841,114152,114306,114421,114453,114700,114928,115010,115114,115239,115405,115540,115613,120038,120338,120452,120752,120906,121145,121301,121540,121634,121820,122257
9,MW5964-1,114028,114049,114224,114317,114338,114453,114524,114607,114638,114907,115010,115103,115228,115405,115716,115820,120038,120141,120306,120606,120648,120741,120906,121020,121145,121240,121656,122018,122215,122559,122713,122931,123220,123428,123542,123749,124052
10,MX1105-0,,115602,115727,115831,115852,115955,120027,,120255,120410,120503,120555,120813,120959,121323,121458,121728,121820,122039,122329,122424,122506,122620,122745,122859,122931,123407,123646,123833,124155,124309,124538,124724,124952,125138,125253,125615
11,MZ3556-1,120741,120906,121020,121042,121134,121157,121219,121312,121405,121519,121613,121717,121935,121956,122308,122424,122641,122734,122838,123024,123117,123210,123335,123500,123614,123646,124102,124259,124413,124610,124703,124931,125148,125440,125554,125801,130021
12,MZ3559-1,,123138,123303,123346,123407,123500,123521,123614,123646,123905,123947,124030,124320,124456,124806,124838,125106,125148,125408,125615,125730,125833,125948,130114,130228,130322,130726,130954,131058,131359,131513,131731,131959,132217,132331,132424,132756
13,MZ3987-1,125408,125554,125740,125801,125833,125926,125958,130103,130145,130322,130436,130551,130851,131015,131452,131638,131906,132020,132259,132610,132714,132817,133035,133210,133356,133459,133956,134256,134453,134814,134918,135157,135301,135645,135820,135924,140514
14,MZ4072-1,132041,132310,132445,132517,132538,132620,132652,132735,132806,132910,133013,133117,133335,133449,133749,133903,134121,134214,134349,134628,134700,134753,134950,135136,135301,135344,135820,140132,140235,140557,140722,140836,141136,141405,141551,141657,142250
