,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ3556-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1
1,MW5964-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-1,-1
2,MZ3559-0,,,,,,,,,,,,,,,,,,,,,,,-1,1,-1,1,2,1,1,1,1,1,2,1,3,-1,-1
3,MZ3987-0,,,,,,,,,,,,,,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,2,1,1,1,1,1,1,1,1,,-1
4,MZ4072-0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,-1,1,1,-1,-1
5,MZ3978-0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,2,4,-1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,2,1,1,1,-1,1,1,1,1,-1,-1
6,MW5943-0,,-1,-1,1,1,,-1,,-1,,1,1,1,1,1,1,1,1,,1,1,1,1,,-1,1,1,1,1,1,1,1,1,1,1,-1,-1
7,MZ4228-0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,-1,-1
8,MW5853-0,,,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1
9,MW5964-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,-1,-1
10,MX1105-0,,-1,-1,-1,-1,1,-1,,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,-1,1,-1,-1
11,MZ3556-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,-1,-1
12,MZ3559-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,3,1,1,1,1,1,1,1,1,-1,-1
13,MZ3987-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,2,1,1,1,1,2,1,1,1,-1,-1
14,MZ4072-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,-1,-1
15,MZ3978-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
16,MW5943-1,-1,-1,-1,-1,-1,-1,-1,,1,,1,,1,1,,1,1,1,,,1,1,1,1,1,-1,,,1,2,-1,1,1,1,1,-1,-1
17,MZ3556-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,3,1,-1,1,1,1,1,1,1,1,1,1,1,-1,2,1,1,1,1,1,1,1,1,-1,-1
18,MW5964-2,-1,-1,-1,-1,-1,-1,1,1,-1,2,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,-1,-1
19,MZ3559-2,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,3,1,-1,1,1,1,1,1,1,1,1,1,1,-1,3,1,1,2,1,1,2,1,1,-1,-1
20,MZ3987-2,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,3,1,1,1,1,1,2,1,1,-1,-1
21,MZ4228-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,2,1,1,1,2,1,1,1,-1,-1
22,MX1105-1,-1,-1,-1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
23,MZ3978-2,-1,-1,-1,1,1,1,1,-1,1,1,5,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,2,1,1,1,1,2,2,1,-1,-1
24,MW5943-2,-1,-1,1,1,,,-1,,1,,1,,,,,,1,,,1,,,,,,,1,,1,1,2,,,,,,
25,MW5964-3,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,-1,-1
26,MZ3559-3,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,-1,-1
27,MZ3556-3,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,2,1,-1,1,1,1,1,1,1,1,1,1,1,-1,4,1,1,1,1,1,2,1,2,-1,-1
28,MZ3987-3,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,2,1,1,1,1,1,1,1,1,-1,-1
29,MX1105-2,,-1,-1,-1,-1,,-1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,2,2,1,1,1,1,1,1,1,-1,-1
30,MZ3978-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,3,1,1,2,1,1,-1,1,1,-1,-1
31,MS1953-0,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,1,-1,-1,2,1,1,1,1,1,1,1,1,-1,-1
32,MZ3559-4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MW5964-4,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1,2,1,,,,,,,,,
34,MZ3987-4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
