,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW5097-0,,,,,,,,,,,,,,100201,100232,100336,100429,100543,100636,100740,100917,101156,101323
1,MW4229-0,,,,,,,100201,100315,101300,101405,101458,101603,101706,101809,102006,102059,102153,102319,102435,102517,102620,102808,102943
2,MW4619-0,101405,101541,101809,102048,102308,102456,102756,102911,103906,104010,104103,104156,104519,104622,104758,104840,104954,105047,105151,105245,105420,105711,110000
3,MW4781-0,102226,103255,103502,103752,104031,104415,104601,104736,105618,105732,105825,110000,110146,110239,110405,110459,110603,110810,110913,111017,111110,111327,111441
4,MW4503-0,,,105409,105711,105907,110114,110323,110603,111534,111638,111741,111855,112031,112124,112238,112331,112445,112549,112652,112806,112944,113244,113337
5,MW4846-0,110717,110945,111120,111420,111648,111813,112020,112124,113047,113150,113255,113430,113555,113637,113812,113916,114030,114155,114258,114423,114630,114909,115105
6,MW5537-0,112756,113047,113316,113605,113905,114112,114320,114548,115520,115602,115655,115809,115945,120038,120223,120316,120410,120545,120638,120731,120856,121134,121333
7,MW5097-1,115541,115624,115820,120131,120327,120441,120741,121010,121924,122018,122100,122204,122318,122421,122535,122639,122742,122950,123043,123136,123301,123458,123602
8,MW4229-1,122453,122628,123000,123322,123613,123748,124027,124202,125437,125519,125613,125738,125852,125955,130130,130225,130328,130454,130608,130712,130836,131115,131219
9,MW4503-1,125426,125645,125945,130318,130608,130804,131115,131250,132244,132326,132431,132555,132659,132741,132918,133011,133135,133228,133345,133448,133645,133935,134110
10,MW5097-2,132648,132857,133228,133459,133706,133759,134018,134328,135301,135355,135448,135551,135706,135748,140006,140121,140214,140256,140400,140443,140618,140836,140950
11,MW4229-2,141012,141115,141312,141602,141830,142110,142410,142659,143653,143818,143900,144025,144201,144305,144512,144626,144719,144907,145042,145136,145312,145602,145738
12,MW4503-2,,150111,150423,150806,151034,151138,151427,151613,152452,152545,152649,152752,152907,153021,153208,153312,153416,153530,153656,153810,153945,154224,154421
13,MW5124-0,151045,151913,152141,152452,152752,152939,153135,153416,154442,154525,154617,154803,154939,155043,155250,155333,155426,155624,155727,155852,160019,160300,160457
14,MW4846-1,153634,153913,154142,154400,154700,154803,155114,155229,160207,160239,160322,160457,160622,160715,160841,160945,161059,161213,161338,161420,161513,161803,161856
15,MW4781-1,,,155219,155426,155716,155936,160207,160332,161348,161420,161513,161659,161803,161845,162031,162124,162227,162331,162445,162527,162631,162910,163014
16,MW5537-1,155903,160112,160300,160612,160820,160945,161255,161431,162424,162527,162620,162734,162849,162942,163107,163211,163304,163450,163604,163718,163926,164206,164403
17,MW4229-3,161928,162052,162238,162517,162713,162817,163107,163232,164310,164403,164424,164559,164724,164817,165013,165106,165222,165359,165502,165555,165813,170031,170156
18,MW4503-3,,165150,165441,165813,170031,170145,170403,170653,171603,171707,171800,171914,172028,172142,172307,172411,172514,172700,172803,172918,173147,173552,173810
19,MW4619-1,,171139,171356,,171924,172049,172421,172525,173459,173541,173635,,173903,174018,174214,174307,174411,174547,174651,174754,174847,175149,175903
20,MW3447-0,172411,173042,173219,173552,173656,173831,174028,174307,175200,175242,175335,175438,175553,175635,175738,175831,175924,180007,180111,180204,180328,180535,180711
21,MW4846-2,173728,174111,174307,174558,174858,175044,175314,175553,180607,180649,180742,180847,181001,181104,181210,181302,181406,181520,181625,181718,181824,182053,182210
22,MW4781-2,,175138,175346,175614,175831,180007,180204,180318,181355,181448,181541,181646,181750,181906,182032,182149,182303,182356,182500,182552,182739,183018,183204
23,MW5537-2,175924,180132,180514,180804,181054,181313,181636,181750,182728,182811,182904,183028,183204,183340,183558,183701,183815,183930,184056,184149,184252,184615,184800
24,MW4229-4,182053,182104,182500,182811,183028,183236,183454,183608,184615,184646,184739,184834,184927,185009,185155,185332,185446,185539,185642,185746,185932,190151,190408
25,MW4619-2,185249,185539,185704,190026,190315,190429,190729,190845,191916,191959,192020,,192330,192434,192610,192713,192817,192952,193056,193149,193303,193532,193625
26,MW4503-4,,,193324,193646,193903,194110,194339,194514,195416,195520,195613,195738,195853,195956,200122,200236,200339,200559,200725,200807,201016,201255,201451
27,MW4781-3,,201213,201359,201647,201916,202238,202341,202455,203324,203407,203459,203614,203717,203800,203903,204007,204110,204245,204410,204503,204556,204835,204938
28,MW4229-5,204556,204648,204803,205021,205228,205425,205643,205736,210615,210647,210740,210835,210949,211021,211156,211251,211344,211447,211550,211634,211738,211955,212109
29,MW4503-5,,,212421,212804,213147,213251,213552,213748,214802,214845,214938,215144,215310,215414,215538,215642,215735,215931,220035,220150,220232,220500,220614
30,MW4781-4,,220107,220253,,220821,221017,221236,221412,222250,222321,222415,,,,,,,,,,,,
