,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW5097-0,,,,,,,,,,,,,,-1,1,1,1,1,2,-1,-1,1,-1
1,MW4229-0,,,,,,,2,-1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
2,MW4619-0,-1,-1,2,-1,-1,1,3,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,4,-1,1,1,-1
3,MW4781-0,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,-1,-1,-1,1,1,1,1,4,1,1,1,-1
4,MW4503-0,,,-1,-1,-1,4,2,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
5,MW4846-0,-1,-1,-1,-1,-1,3,2,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1
6,MW5537-0,-1,-1,-1,-1,-1,-1,4,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
7,MW5097-1,-1,-1,-1,-1,-1,-1,3,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
8,MW4229-1,-1,-1,1,-1,-1,-1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
9,MW4503-1,-1,-1,1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
10,MW5097-2,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
11,MW4229-2,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
12,MW4503-2,,-1,-1,-1,-1,2,2,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
13,MW5124-0,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,1,1,-1
14,MW4846-1,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
15,MW4781-1,,,-1,-1,-1,2,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
16,MW5537-1,-1,-1,-1,-1,-1,-1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
17,MW4229-3,-1,-1,-1,-1,-1,-1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
18,MW4503-3,,-1,1,-1,-1,-1,4,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
19,MW4619-1,,-1,-1,,-1,-1,3,1,-1,-1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
20,MW3447-0,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
21,MW4846-2,-1,-1,1,-1,-1,-1,3,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
22,MW4781-2,,-1,1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
23,MW5537-2,-1,-1,-1,-1,-1,1,2,1,1,-1,-1,-1,-1,-1,1,1,1,1,3,1,1,1,-1
24,MW4229-4,-1,-1,1,-1,-1,-1,3,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
25,MW4619-2,-1,-1,-1,-1,-1,-1,4,-1,1,-1,-1,,-1,1,1,1,1,1,2,1,1,1,-1
26,MW4503-4,,,-1,-1,-1,1,2,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1
27,MW4781-3,,-1,-1,-1,-1,-1,3,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
28,MW4229-5,-1,-1,1,-1,-1,3,2,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,3,-1,1,1,-1
29,MW4503-5,,,1,-1,-1,1,3,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,-1
30,MW4781-4,,-1,-1,,-1,1,2,-1,-1,-1,-1,,,,,,,,,,,,
