,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4619-0,,,,,,,,,,,,,,,100201,100232,100326,100730
1,MW4781-0,,,,,,,,,,,100201,101052,101311,101427,101530,101634,101820,102059
2,MW4705-0,,,,,,100201,100211,100315,100357,100907,101217,102445,102703,102850,103004,103057,103224,103627
3,MW4846-0,100408,100533,100835,100959,101135,101228,101334,101416,101530,,,103348,103606,103731,103845,103927,104031,104436
4,MW5537-0,101820,102037,102340,102456,102610,102714,102756,102850,102933,103502,103648,104736,105005,105129,105234,105327,105420,105742
5,MW5097-0,103452,103648,103959,104145,104249,104343,104519,104611,104643,105151,105359,110427,110645,110749,110903,110956,111110,111431
6,MW4229-0,105742,105814,110104,110207,110311,110405,110613,110717,110749,111317,111503,112726,112954,113118,113223,113255,113420,113648
7,MW4781-1,111503,112540,112901,113015,113150,113223,113327,113441,113513,114040,114258,115209,115417,115552,115655,115759,115924,120348
8,MW4503-0,,120141,120348,120545,120648,120741,120845,120938,121020,121529,121820,122846,123115,123333,123437,123540,123623,124120
9,MW5097-1,124130,124255,124605,124719,124824,124927,125020,125134,125239,125706,125841,130826,131147,131335,131438,131520,131645,131955
10,MW4229-1,,132059,132358,132555,132720,132752,132835,132949,133103,133634,133810,135053,135333,135509,135613,135716,135831,140121
11,MW4503-1,134857,135208,135448,135551,135706,135809,135902,140006,140100,140639,140950,141945,142245,142431,142545,142659,142824,143135
12,MW5097-2,143145,143218,143602,143913,144027,144130,144224,144421,144535,145157,145427,150713,151003,151220,151345,151509,151624,152110
13,MW4229-2,150941,151013,151323,151448,151602,151634,151738,151841,151945,152545,152803,153955,154245,154524,154628,154803,155000,155421
14,MW4503-2,,155504,155847,160106,160221,160346,160532,160636,160739,161259,161610,162856,163145,163341,163455,163559,163702,164024
15,MW4619-1,,,160708,160834,160937,161041,161155,161259,161402,161829,162057,163310,163517,163631,163734,163827,163909,164334
16,MW5124-0,161839,162212,162523,,,,,,,,,,,,,,,
17,MW4846-1,163156,163434,163713,163920,164024,164127,164406,164521,164624,165110,165328,170523,170813,171031,171145,171239,171355,171717
18,MW4781-2,164531,164728,165017,165203,165307,165432,165514,165649,165753,170305,170502,171809,172048,172306,172420,172513,172648,173134
19,MW5537-1,165847,170013,170337,170512,170626,170802,170916,171041,171145,171717,171923,173239,173528,173910,174045,174200,174314,174614
20,MW4229-3,171820,172048,172430,172659,172803,172917,173009,173052,173207,173611,173818,174854,175133,175423,175526,175630,175744,180127
21,MW4503-3,174811,174843,175133,175505,175619,175816,175919,180024,180106,180531,180749,181753,182043,182252,182356,182500,182603,183018
22,MW4619-2,175930,180159,180417,180613,180738,180842,180945,181120,181224,181753,182345,183536,183722,183951,184056,184159,184335,184750
23,MW3447-0,181606,181907,182210,182449,182603,182707,182853,182957,183100,183701,183909,185031,185321,185529,185632,185736,185900,190244
24,MW4846-2,182914,183142,183422,183619,183722,183815,184106,184159,184252,184729,184927,190130,190429,190554,190657,190803,190857,191322
25,MW4781-3,184428,,184855,185113,185217,185300,185446,185600,185632,190058,190212,191250,191509,191613,191739,191813,191939,192345
26,MW5537-2,185900,190058,190408,190543,190719,190813,191032,191147,191229,191834,192032,193234,193512,193648,193812,193856,194031,194320
27,MW4229-4,,192655,192902,192955,193058,193213,193430,193534,193616,194031,194206,195139,195327,195534,195638,195720,195855,200157
28,MW4503-4,,202347,202647,202813,202927,203041,203259,203352,203434,204003,204253,205557,205848,210045,210211,210315,210419,210824
29,MW4781-4,205859,,210419,210544,210658,210751,210938,211052,211156,211634,211749,212836,213125,213302,213416,213509,213645,214006
30,MW4229-5,214306,214503,214824,215020,215113,215156,215424,215517,215600,220107,220252,221401,221650,221825,221929,222011,222146,222529
