,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4619-0,,,,,,,,,,,,,,,1,-1,-1,-1
1,MW4781-0,,,,,,,,,,,-1,-1,1,-1,1,-1,-1,-1
2,MW4705-0,,,,,,-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,-1
3,MW4846-0,1,1,1,1,1,1,-1,-1,1,,,-1,1,1,1,-1,-1,-1
4,MW5537-0,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1
5,MW5097-0,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,-1,-1
6,MW4229-0,2,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
7,MW4781-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
8,MW4503-0,,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
9,MW5097-1,1,1,1,1,1,1,1,1,1,1,1,-1,3,-1,1,-1,-1,-1
10,MW4229-1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
11,MW4503-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
12,MW5097-2,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1
13,MW4229-2,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
14,MW4503-2,,1,1,1,1,1,1,1,1,-1,1,-1,3,1,1,-1,-1,-1
15,MW4619-1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
16,MW5124-0,1,1,1,,,,,,,,,,,,,,,
17,MW4846-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,-1,-1
18,MW4781-2,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
19,MW5537-1,3,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
20,MW4229-3,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
21,MW4503-3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
22,MW4619-2,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
23,MW3447-0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
24,MW4846-2,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1
25,MW4781-3,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1
26,MW5537-2,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
27,MW4229-4,,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1
28,MW4503-4,,1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,-1,-1,-1
29,MW4781-4,1,,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1
30,MW4229-5,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1
